ID;PROP_ID;COMP_ID;Antoine5LogA;Antoine5LogB;Antoine5LogC;Antoine5LogD;Antoine5LogE;Antoine5LogTmin;Antoine5LogTmax
20545;13231;20548;40.7099;-4432.7183;-10.694051;-3.5929999E-3;0.000004;200;654
20546;13230;20549;36.58445;-3852.614;-9.5321159;-3.2029999E-3;0.000004;200;623
20547;12376;20550;51.913116;-8594.5674;-11.920253;-8.0549996E-3;0.000004;200;914
20548;17123;20551;43.976387;-4849.895;-11.726897;-0.002632;0.000004;200;696
20549;17126;20552;27.314043;-2860.0066;-6.6846428;-0.002902;0.000004;200;575
20550;17125;20553;27.314043;-2860.0066;-6.6846428;-0.002902;0.000004;200;575
20551;17577;20554;36.787598;-4653.1494;-9.840847;-3.8300001E-4;0.000002;200;831
20552;17069;20555;37.122593;-4268.4829;-9.6018238;-2.9200001E-3;0.000004;200;682
20553;16304;20556;46.430996;-5090.5215;-12.47056;-3.2560001E-3;0.000004;200;684
20554;17089;20557;29.560471;-3038.8921;-7.4712439;-2.7079999E-3;0.000004;200;581
20555;17057;20558;40.308445;-5299.3613;-9.0655012;-0.010194;0.000008;200;662
20556;17028;20559;34.49654;-3581.2439;-9.3297396;-5.9499999E-4;0.000002;200;657.79999
20557;15919;20560;41.6376;-4196.2085;-11.198687;-0.00293;0.000004;200;620
20558;12675;20561;33.353691;-3138.6023;-9.0502796;-9.2199998E-4;3.0000001E-6;200;583
20559;12674;20562;37.560093;-3033.2693;-11.040737;0.001902;0.000002;200;551.5
20560;15577;20563;40.48204;-2913.2061;-12.015601;2.9600001E-4;4.9999999E-6;200;464
20561;12482;20564;42.12027;-4115.2456;-11.238329;-0.00403;6.0000002E-6;200;585
20562;12676;20565;35.699215;-3425.8748;-9.888382;4.0999999E-5;0.000002;200;626
20563;17087;20566;36.463245;-3776.7307;-9.9155703;-7.5399998E-4;3.0000001E-6;200;661
20564;17047;20567;36.501793;-3848.0981;-9.8972893;-8.3799998E-4;3.0000001E-6;200;671
20565;16307;20568;46.626812;-4926.439;-12.585908;-3.4680001E-3;4.9999999E-6;200;656
20566;16306;20569;40.09198;-3912.386;-11.088053;-0.001381;0.000004;200;619
20567;17040;20570;-19.765057;-2436.689;13.437827;-0.023974;0.000011;200;669.59998
20568;17048;20571;36.638039;-3837.4163;-9.9581966;-7.8900001E-4;3.0000001E-6;200;668
20569;17042;20572;31.648186;-3536.822;-8.1021223;-2.0419999E-3;3.0000001E-6;200;661
20570;17049;20573;36.460323;-3855.7952;-9.8460741;-0.001042;3.0000001E-6;200;668
20571;17041;20574;28.128576;-3144.7847;-7.0076518;-2.1470001E-3;3.0000001E-6;200;636
20572;5852;20575;48.831688;-6169.8818;-12.59719;-4.4180001E-3;0.000004;253.10001;769
20573;9817;20576;48.311771;-5105.9023;-13.105815;-3.2909999E-3;0.000004;200;665
20574;14830;20577;36.06913;-6852.0962;-4.7124982;-2.2793001E-2;0.000013;200;679
20575;11849;20578;-19.367544;-4186.9951;16.347734;-3.7209999E-2;1.8000001E-5;200;676
20576;9064;20579;35.514713;-4054.553;-9.4247017;-9.2600001E-4;0.000002;200;727
20577;12106;20580;-117.8524;673.28668;51.1679;-4.7070999E-2;0.000015;450.84;742
20578;7315;20581;-142.04103;620.34045;60.403576;-5.0106999E-2;0.000014;494.60001;862
20579;15228;20582;44.641998;-4389.7256;-12.028477;-3.7479999E-3;4.9999999E-6;200;602
20580;6948;20583;31.78743;-3523.989;-8.1690245;-1.9700001E-3;3.0000001E-6;200;658
20581;11007;20584;36.120934;-3620.2148;-10.01381;1.4800001E-4;0.000002;200;658.20001
20582;9260;20585;27.337011;-2895.7166;-7.2240582;2.7700001E-4;0.000002;200;657
20583;9530;20586;30.844927;-3164.1138;-7.987473;-0.001637;3.0000001E-6;200;611
20584;19425;20587;10.975371;-1595.9469;-1.491524;-2.3149999E-3;3.0000001E-6;200;558
20585;15231;20588;5.2463279;-6673.9189;7.0637889;-0.026572;0.000011;324.89999;799
20586;15235;20589;36.098328;-8280.2666;-5.3633428;-0.01432;6.0000002E-6;288.39999;896
20587;15232;20590;-5.803782;-6917.3394;11.873086;-3.0905999E-2;0.000012;342.39999;823
20588;15236;20591;32.506622;-8978.0527;-3.4454269;-1.6341001E-2;7.0000001E-6;302.89999;937
20589;15237;20592;29.344431;-9710.6406;-1.723033;-0.018066;7.0000001E-6;317.39999;977
20590;17088;20593;37.802971;-3897.8372;-10.317671;-8.8000001E-4;3.0000001E-6;200;661
20591;12031;20594;43.768463;-4440.5503;-11.818093;-3.1890001E-3;4.9999999E-6;200;626
20592;7571;20595;44.518528;-4415.8794;-12.320209;-0.001504;0.000004;200;645
20593;14270;20596;44.621964;-5205.6777;-10.800842;-8.5829999E-3;7.0000001E-6;200;637
20594;6450;20597;49.129303;-9487.1602;-8.7744722;-1.7116999E-2;0.000008;200;840
20595;17084;20598;43.107487;-5305.9175;-10.988243;-4.7309999E-3;0.000004;200;724
20596;10677;20599;44.180592;-5829.4536;-9.7481318;-0.012069;9.0000003E-6;200;660
20597;17124;20600;43.976387;-4849.895;-11.726897;-0.002632;0.000004;200;696
20598;17051;20601;38.032932;-3839.7312;-10.566092;-1.3299999E-4;0.000002;200;663
20599;16150;20602;53.092712;-7746.0142;-12.869497;-8.2710003E-3;4.9999999E-6;200;810
20600;13767;20603;-102.65865;-2520.8276;49.660255;-6.1211001E-2;2.3000001E-5;408.10001;727
20601;12586;20604;41.10828;-4213.939;-10.496704;-6.2759998E-3;7.0000001E-6;200;577
20602;16584;20605;49.94783;-5589.0854;-13.111834;-5.0940001E-3;4.9999999E-6;200;679
20603;10555;20606;-12.193924;-3704.9133;12.711883;-0.0328;0.000017;200;626.5
20604;16305;20607;38.661201;-3756.3137;-10.714654;-0.000971;3.0000001E-6;200;619
20605;15828;20608;40.703773;-4409.0259;-10.698771;-0.003362;0.000004;200;656
20606;16459;20609;37.379158;-3835.1279;-9.9475641;-2.6529999E-3;0.000004;200;616.59998
20607;16303;20610;44.958263;-4498.8784;-12.28441;-3.1020001E-3;4.9999999E-6;200;621
20608;16308;20611;44.103176;-4577.9878;-12.17443;-0.001498;3.0000001E-6;200;673
20609;7136;20612;48.453033;-6581.2593;-11.733401;-0.007429;4.9999999E-6;200;765
20610;7986;20613;47.853249;-9538.6182;-8.1165867;-1.8231001E-2;9.0000003E-6;200;836
20611;11023;20614;36.889248;-4401.4995;-9.5963898;-0.001877;3.0000001E-6;200;742
20612;13030;20615;24.033836;-3856.2002;-4.5267749;-6.3450001E-3;0.000004;200;711
20613;14217;20616;38.841637;-4304.8872;-10.430594;-0.001479;3.0000001E-6;200;699
20614;16729;20617;43.349312;-5518.3896;-10.348995;-8.4039997E-3;7.0000001E-6;200;683
20615;14679;20618;39.282734;-4114.4941;-10.86561;-3.2200001E-4;0.000002;200;690
20616;16724;20619;36.064667;-3940.3921;-9.7681065;-6.7400001E-4;0.000002;200;698
20617;16318;20620;46.041611;-5415.1377;-12.57002;-0.001447;3.0000001E-6;200;773
20618;18474;20621;45.642311;-4681.4814;-12.994641;0.000252;0.000002;200;710
20619;10775;20622;40.249409;-4430.1963;-11.120787;-0.000166;0.000002;200;736
20620;12156;20623;44.688881;-4669.8286;-12.562636;-0.000325;0.000002;200;708
20621;16967;20624;44.083775;-5689.8652;-10.44452;-8.9020003E-3;7.0000001E-6;200;687
20622;17399;20625;40.068333;-6135.6299;-9.1919584;-6.8990001E-3;0.000004;323.10001;800
20623;11971;20626;41.334297;-4434.9775;-11.423119;-5.1400001E-4;0.000002;200;711
20624;17328;20627;39.864895;-4676.2827;-10.620116;-1.7650001E-3;3.0000001E-6;200;742
20625;17116;20628;41.95005;-6631.4097;-8.1091537;-0.015584;9.9999997E-6;205.2;701
