ID;PROP_ID;COMP_ID;GasThermalConductivityA;GasThermalConductivityB;GasThermalConductivityC;GasThermalConductivityTmin;GasThermalConductivityTmax
20545;13231;20548;-1.5831999E-2;7.5000004E-5;0;480;980
20546;13230;20549;-0.014896;7.5999997E-5;0;440;930
20547;12376;20550;-0.007886;3.7999998E-5;0;670;1370
20548;17123;20551;-0.013028;6.0999999E-5;0;528.25;1040
20549;17126;20552;-0.014744;6.7000001E-5;0;380;860
20550;17125;20553;-0.014744;6.7000001E-5;0;380;860
20551;17577;20554;-2.0656001E-2;7.6999997E-5;0;600;1240
20552;17069;20555;-0.020955;0.000085;0;527.75;1020
20553;16304;20556;-0.014922;6.7000001E-5;0;538;1020
20554;17089;20557;-1.5861001E-2;7.4000003E-5;0;400;870
20555;17057;20558;-0.015614;0.000064;0;500;990
20556;17028;20559;-0.019427;8.0999998E-5;0;485.75;980
20557;15919;20560;-0.013494;6.7000001E-5;0;440;920
20558;12675;20561;-0.01031;0.000055;0;400;870
20559;12674;20562;-0.011436;0.000064;0;370;820
20560;15577;20563;-7.4430001E-3;4.8000002E-5;0;310;690
20561;12482;20564;-0.015109;7.6999997E-5;0;420;870
20562;12676;20565;-8.5810004E-3;4.7000001E-5;0;430;930
20563;17087;20566;-0.020444;8.3999999E-5;0;496.25;990
20564;17047;20567;-0.019915;7.9999998E-5;0;506.75;1000
20565;16307;20568;-0.014227;0.000064;0;500;980
20566;16306;20569;-0.016579;7.9999998E-5;0;450;920
20567;17040;20570;-2.0385001E-2;8.2999999E-5;0;496.5;1000
20568;17048;20571;-0.020062;8.0999998E-5;0;506.75;1000
20569;17042;20572;-0.020444;8.3999999E-5;0;496.25;990
20570;17049;20573;-0.02079;0.000085;0;506.75;1000
20571;17041;20574;-1.8340001E-2;7.8999998E-5;0;464.5;950
20572;5852;20575;-12321;-12321;-12321;-12321;-12321
20573;9817;20576;-1.9439001E-2;7.9999998E-5;0;490;990
20574;14830;20577;-0.011319;4.6000001E-5;0;540;1010
20575;11849;20578;-0.015174;6.8000001E-5;0;527.5;1010
20576;9064;20579;-2.2305001E-2;8.9000001E-5;0;539.75;1090
20577;12106;20580;-0.028057;0.000106;0;550.5;1110
20578;7315;20581;-3.9799001E-2;0.000126;0;610;1290
20579;15228;20582;-0.012986;7.1000002E-5;0;420;900
20580;6948;20583;-1.9432001E-2;8.0999998E-5;0;485.75;980
20581;11007;20584;-0.019406;8.0999998E-5;0;485.75;980
20582;9260;20585;-0.021813;9.3000002E-5;0;485.75;980
20583;9530;20586;-0.01754;7.4000003E-5;0;432.75;910
20584;19425;20587;-0.012245;6.9000002E-5;0;340;830
20585;15231;20588;-0.013717;0.000053;0;620;1190
20586;15235;20589;-1.6883001E-2;5.9000002E-5;0;690;1340
20587;15232;20590;-0.012456;4.7000001E-5;0;650;1230
20588;15236;20591;-0.015234;5.0999999E-5;0;730;1400
20589;15237;20592;-0.013594;0.000044;0;780;1460
20590;17088;20593;-0.020444;8.3999999E-5;0;496.25;990
20591;12031;20594;-0.013088;6.2999999E-5;0;470;930
20592;7571;20595;-1.8139999E-2;7.5000004E-5;0;460;960
20593;14270;20596;-0.014838;6.6000001E-5;0;450;950
20594;6450;20597;-1.5852001E-2;5.7000001E-5;0;630;1250
20595;17084;20598;-0.022015;7.9999998E-5;0;590.75;1080
20596;10677;20599;-0.013576;0.000064;0;480;980
20597;17124;20600;-0.013028;6.0999999E-5;0;528.25;1040
20598;17051;20601;-1.6573001E-2;7.0000002E-5;0;490;990
20599;16150;20602;-12321;-12321;-12321;-12321;-12321
20600;13767;20603;-9.6500004E-3;0.000043;0;550;1090
20601;12586;20604;-0.014383;7.4000003E-5;0;420;860
20602;16584;20605;-0.011334;0.000053;0;527.5;1010
