ID;PROP_ID;COMP_ID;EnthalpyOfVapourizationA;EnthalpyOfVapourizationB;EnthalpyOfVapourizationN;EnthalpyOfVapourizationTmin;EnthalpyOfVapourizationTmax
20545;13231;20548;72036.32;654;0.430769;200;654
20546;13230;20549;62895.438;623;0.411048;200;623
20547;12376;20550;140536.84;914;0.46036801;200;914
20548;17123;20551;75903.219;696;0.39705101;200;696
20549;17126;20552;48183.109;575;0.37186801;200;575
20550;17125;20553;48177.266;575;0.37175801;200;575
20551;17577;20554;74788.438;831;0.36616299;200;831
20552;17069;20555;70386.586;682;0.41781601;200;682
20553;16304;20556;78888.117;684;0.390515;200;684
20554;17089;20557;50523.383;581;0.37801;200;581
20555;17057;20558;87164.703;662;0.43684199;200;662
20556;17028;20559;58184.473;657.79999;0.388199;200;657.79999
20557;15919;20560;66021.5;620;0.39333999;200;620
20558;12675;20561;50648.43;583;0.376243;200;583
20559;12674;20562;47364.016;551.5;0.37281799;200;551.5
20560;15577;20563;47079;464;0.44446099;200;464
20561;12482;20564;64791.602;585;0.39879501;200;585
20562;12676;20565;54856.242;626;0.384011;200;626
20563;17087;20566;60864.777;661;0.392032;200;661
20564;17047;20567;62214.301;671;0.396108;200;671
20565;16307;20568;75317.008;656;0.37297499;200;656
20566;16306;20569;63663.621;619;0.42929199;200;619
20567;17040;20570;64362.699;669.59998;0.42492601;200;669.59998
20568;17048;20571;61864.492;668;0.39341101;200;668
20569;17042;20572;58652.539;661;0.392225;200;661
20570;17049;20573;62458.23;668;0.39740101;200;668
20571;17041;20574;52691.195;636;0.37323701;200;636
20572;5852;20575;95495.281;769;0.38552201;253.10001;769
20573;9817;20576;78789.703;665;0.397701;200;665
20574;14830;20577;117561.34;679;0.463162;200;679
20575;11849;20578;96209.039;676;0.44511801;200;676
20576;9064;20579;66292.75;727;0.40108201;200;727
20577;12106;20580;71869.336;742;0.40630201;450.84;742
20578;7315;20581;-12321;-12321;-12321;-12321;-12321
20579;15228;20582;69006.539;602;0.41413799;200;602
20580;6948;20583;58254.488;658;0.38935;200;658
20581;11007;20584;58305.902;658.20001;0.38931501;200;658.20001
20582;9260;20585;49641.121;657;0.387238;200;657
20583;9530;20586;52344.508;611;0.38088301;200;611
20584;19425;20587;31693.48;558;0.31149501;200;558
20585;15231;20588;132434.48;799;0.475916;324.89999;799
20586;15235;20589;140485.23;896;0.43202999;288.39999;896
20587;15232;20590;147355.63;823;0.50455898;342.39999;823
20588;15236;20591;165825.86;937;0.54087001;302.89999;937
20589;15237;20592;186711.23;977;0.57801801;317.39999;977
20590;17088;20593;62259.262;661;0.39120799;200;661
