ID;PROP_ID;COMP_ID;Poly5IdealGasCpA;Poly5IdealGasCpB;Poly5IdealGasCpC;Poly5IdealGasCpD;Poly5IdealGasCpE;Poly5IdealGasCpTmin;Poly5IdealGasCpTmax
20546;13231;20548;21.369366;0.88353002;-0.000348;0;0;200;980
20547;13230;20549;22.948515;0.69204402;-0.000239;0;0;200;980
20548;12376;20550;41.467815;0.63831902;-2.8199999E-4;0;0;200;980
20549;17123;20551;13.087349;0.654037;-4.3300001E-4;0;0;200;980
20550;17126;20552;-22.207893;0.55283201;-1.8800001E-4;0;0;200;980
20551;17125;20553;-22.207893;0.55283201;-1.8800001E-4;0;0;200;980
20552;17577;20554;-40.152935;1.285265;-6.4599997E-4;0;0;200;980
20553;17069;20555;0.109349;0.94926;-0.000294;0;0;200;980
20554;16304;20556;-1.010331;1.0076309;-5.9499999E-4;0;0;200;980
20555;17089;20557;-19.724726;0.68183202;-0.000245;0;0;200;980
20556;17057;20558;-9.4113998;0.91302103;-2.5400001E-4;0;0;200;980
20557;17028;20559;3.2198579;0.66772902;-0.000151;0;0;200;980
20558;15919;20560;-8.1348314;0.75583899;-0.000466;0;0;200;980
20559;12675;20561;2.974519;0.528597;-0.000321;0;0;200;980
20560;12674;20562;-2.314471;0.54617399;-0.00034;0;0;200;980
20561;15577;20563;-3.52406;0.52572697;-0.000298;0;0;200;980
20562;12482;20564;-1.225081;0.629498;-3.4299999E-4;0;0;200;980
20563;12676;20565;-2.769881;0.58481902;-0.000447;0;0;200;980
20564;17087;20566;3.2198579;0.66772902;-0.000151;0;0;200;980
20565;17047;20567;18.428879;0.65981799;-5.0999999E-5;0;0;200;980
20566;16307;20568;-13.928371;1.048354;-5.9800001E-4;0;0;200;980
20567;16306;20569;-11.920132;0.97799802;-5.3700001E-4;0;0;200;980
20568;17040;20570;3.2198579;0.66772902;-0.000151;0;0;200;980
20569;17048;20571;18.428879;0.65981799;-5.0999999E-5;0;0;200;980
20570;17042;20572;3.2198579;0.66772902;-0.000151;0;0;200;980
20571;17049;20573;2.4224031;0.76354003;-0.000206;0;0;200;980
20572;17041;20574;-6.108614;0.708781;-2.0900001E-4;0;0;200;980
20573;5852;20575;-12321;-12321;-12321;-12321;-12321;-12321;-12321
20574;9817;20576;-17.307152;0.87838501;-2.8199999E-4;0;0;200;980
20575;14830;20577;-5.2270021;1.140314;-0.000413;0;0;200;980
20576;11849;20578;7.876029;0.47261199;-2.5899999E-4;0;0;200;980
20577;9064;20579;-45.429237;0.88697499;-5.9200003E-4;0;0;200;980
20578;12106;20580;-22.939911;0.874654;-4.5600001E-4;0;0;200;980
20579;7315;20581;21.910398;0.71528703;-0.000172;0;0;200;980
20580;15228;20582;20.5534;0.451592;-2.4600001E-4;0;0;200;980
20581;6948;20583;3.2198579;0.66772902;-0.000151;0;0;200;980
20582;11007;20584;3.2198579;0.66772902;-0.000151;0;0;200;980
20583;9260;20585;-54.272396;0.97129101;-6.6000002E-4;0;0;200;980
20584;9530;20586;-9.0120058;0.491326;-0.000065;0;0;200;980
20585;19425;20587;-6.9654021;0.63829601;-0.000397;0;0;200;980
20586;15231;20588;1.561729;1.120234;-6.3600001E-4;0;0;200;980
20587;15235;20589;22.47415;1.041926;-0.000551;0;0;200;980
20588;15232;20590;-3.2210998E-2;1.311847;-7.4500003E-4;0;0;200;980
20589;15236;20591;20.880209;1.233539;-6.6100003E-4;0;0;200;980
20590;15237;20592;19.286268;1.4251519;-7.6999998E-4;0;0;200;980
20591;17088;20593;3.2198579;0.66772902;-0.000151;0;0;200;980
20592;12031;20594;-2.819021;0.82111198;-4.5299999E-4;0;0;200;980
20593;7571;20595;-9.3721504;0.57773;-0.000126;0;0;200;980
20594;14270;20596;-5.522841;0.485064;-0.000181;0;0;200;980
20595;6450;20597;14.909779;0.72803599;-0.000363;0;0;200;980
20596;17084;20598;23.197533;1.03483;-1.3299999E-4;0;0;200;980
20597;10677;20599;7.876029;0.47261199;-2.5899999E-4;0;0;200;980
20598;17124;20600;13.087349;0.654037;-4.3300001E-4;0;0;200;980
20599;17051;20601;13.69197;0.70888698;-0.000136;0;0;200;980
20600;16150;20602;64.692558;1.986378;-7.6800003E-4;0;0;200;980
20601;13767;20603;-8.4233398;0.74167299;-5.0700002E-4;0;0;200;980
20602;12586;20604;-7.118083;0.74887002;-0.000432;0;0;200;980
20603;16584;20605;2.7749679;0.78547299;-5.2399997E-4;0;0;200;980
20604;10555;20606;-2.819021;0.82111198;-4.5299999E-4;0;0;200;980
20605;16305;20607;-11.920132;0.97799802;-5.3700001E-4;0;0;200;980
20606;15828;20608;-32.013474;0.83171201;-4.6099999E-4;0;0;200;980
20607;16459;20609;-17.813133;1.09737;-6.2599999E-4;0;0;200;980
20608;16303;20610;-3.0178511;0.98380798;-0.000505;0;0;200;980
20609;16308;20611;-10.525742;1.04326;-6.3000002E-4;0;0;200;980
20610;7136;20612;-44.959858;1.118542;-0.000681;0;0;200;980
