ID;PROP_ID;COMP_ID;LiquidThermalConductivityA;LiquidThermalConductivityB;LiquidThermalConductivityC;LiquidThermalConductivityTmin;LiquidThermalConductivityTmax
20545;13231;20548;0.17391101;-4.7000001E-5;0;200;580
20546;13230;20549;0.167882;-0.000033;0;200;560
20547;12376;20550;-12321;-12321;-12321;-12321;-12321
20548;17123;20551;0.112716;-0.000028;0;200;620
20549;17126;20552;0.15500499;-2.9000001E-5;0;200;510
20550;17125;20553;0.15500499;-2.9000001E-5;0;200;510
20551;17577;20554;-1.522858;0.77764302;831;223.5;693.5
20552;17069;20555;0.116774;-2.9000001E-5;0;200;610
20553;16304;20556;0.13704801;-3.7000002E-5;0;200;610
20554;17089;20557;0.143408;-2.4000001E-5;0;200;520
20555;17057;20558;0.14584699;-3.9999999E-5;0;200;590
20556;17028;20559;0.133898;-2.9000001E-5;0;200;590
20557;15919;20560;0.127243;-0.000031;0;200;550
20558;12675;20561;0.1284;-2.3000001E-5;0;200;520
20559;12674;20562;-12321;-12321;-12321;-12321;-12321
20560;15577;20563;-12321;-12321;-12321;-12321;-12321
20561;12482;20564;0.192417;-2.5400001E-4;0;200;520
20562;12676;20565;0.105169;-0.000021;0;200;560
20563;17087;20566;0.13425399;-0.000031;0;200;590
20564;17047;20567;0.13979401;-0.000033;0;200;600
20565;16307;20568;0.21243501;-3.0000001E-4;0;200;590
20566;16306;20569;0.154873;-3.8999999E-5;0;200;550
20567;17040;20570;0.134234;-2.9999999E-5;0;200;600
20568;17048;20571;0.13940699;-0.000031;0;200;600
20569;17042;20572;0.13425399;-0.000031;0;200;590
20570;17049;20573;0.135479;-2.9999999E-5;0;200;600
20571;17041;20574;0.146116;-2.9999999E-5;0;200;570
20572;5852;20575;0.28312901;-3.5399999E-4;0;260;690
20573;9817;20576;0.184212;-2.3400001E-4;0;200;590
20574;14830;20577;0.120423;-3.5000001E-5;0;200;584.75
20575;11849;20578;0.223258;-2.6599999E-4;0;200;600
20576;9064;20579;0.178048;-0.000043;0;200;650
20577;12106;20580;0.111964;0.000101;0;460;660
20578;7315;20581;0.158144;0.000085;0;500;770
20579;15228;20582;0.148524;-0.000185;0;200;540
20580;6948;20583;0.133838;-2.9000001E-5;0;200;590
20581;11007;20584;0.13395301;-2.9000001E-5;0;200;590
20582;9260;20585;0.12385;-0.000026;0;200;590
20583;9530;20586;0.213237;-4.8000002E-5;0;200;540
20584;19425;20587;0.093015;-9.0000003E-6;0;200;500
20585;15231;20588;0.27251101;-3.3000001E-4;0;330;710
20586;15235;20589;-1.2915649;0.63296801;896;317.25;800
20587;15232;20590;0.28837699;-0.000359;0;350;740
20588;15236;20591;-1.343711;0.70765799;937;338.75;798.75
20589;15237;20592;-1.393669;0.78260601;977;349.75;825.75
20590;17088;20593;0.13425399;-0.000031;0;200;590
20591;12031;20594;0.21431901;-3.0399999E-4;0;200;560
20592;7571;20595;0.189408;-0.000229;0;200;580
20593;14270;20596;0.216085;-2.6500001E-4;0;200;570
20594;6450;20597;-1.228402;0.64573801;840;200;750
20595;17084;20598;0.15752;-0.000043;0;221.25;650
20596;10677;20599;0.22441299;-0.000275;0;200;590
20597;17124;20600;0.112716;-0.000028;0;200;620
20598;17051;20601;0.131926;-3.5000001E-5;0;200;590
20599;16150;20602;-1.58305;0.88233203;810;453;545
20600;13767;20603;0.16373;8.2999999E-5;0;410;650
20601;12586;20604;0.176972;-2.4600001E-4;0;200;510
20602;16584;20605;0.110012;-0.000026;0;200;610
20603;10555;20606;0.198797;-0.00026;0;200;560
20604;16305;20607;0.154873;-3.8999999E-5;0;200;550
20605;15828;20608;0.165764;-3.6000001E-5;0;200;590
