ID;PROP_ID;COMP_ID;RackettLiquidDensityA;RackettLiquidDensityB;RackettLiquidDensityN;RackettLiquidDensityTc;RackettLiquidDensityTmin;RackettLiquidDensityTmax
20545;13231;20548;297.46072;0.248685;0.27604499;654;110;654
20546;13230;20549;307.125;0.25196099;0.284785;623;100;623
20547;12376;20550;401.59985;0.24156199;0.27291101;914;110;914
20548;17123;20551;488.22791;0.250954;0.279852;696;110;696
20549;17126;20552;269.50198;0.26321799;0.28875199;575;110;575
20550;17125;20553;270.11896;0.26317099;0.288708;575;110;575
20551;17577;20554;294.99106;0.258021;0.28652301;831;110;831
20552;17069;20555;263.83746;0.25228199;0.27965999;682;110;682
20553;16304;20556;322.85825;0.245721;0.27499601;684;110;684
20554;17089;20557;255.1815;0.26119101;0.287038;581;110;581
20555;17057;20558;250.08031;0.244721;0.27652499;662;110;662
20556;17028;20559;270.53998;0.258724;0.28486899;657.79999;110;657.79999
20557;15919;20560;385.44455;0.25129801;0.278543;620;110;620
20558;12675;20561;396.76852;0.25807199;0.28199399;583;110;583
20559;12674;20562;294.11682;0.25973701;0.28478301;551.5;110;551.5
20560;15577;20563;273.95844;0.25176001;0.276728;464;110;464
20561;12482;20564;265.7341;0.24652299;0.27511901;585;110;585
20562;12676;20565;492.43185;0.25734299;0.28609601;626;100;626
20563;17087;20566;273.9288;0.25837901;0.28420499;661;110;661
20564;17047;20567;267.67874;0.25683299;0.28241599;671;110;671
20565;16307;20568;248.81227;0.244076;0.27399099;656;110;656
20566;16306;20569;237.55693;0.25768;0.28629899;619;110;619
20567;17040;20570;269.99268;0.25639299;0.28098601;669.59998;110;669.59998
20568;17048;20571;265.5004;0.2568;0.28370801;668;110;668
20569;17042;20572;273.80969;0.25874501;0.283647;661;110;661
20570;17049;20573;265.59348;0.256441;0.28332901;668;110;668
20571;17041;20574;271.47275;0.26080701;0.28616801;636;110;636
20572;5852;20575;338.86963;0.235624;0.266202;769;253.10001;769
20573;9817;20576;276.39783;0.247785;0.27860001;665;110;665
20574;14830;20577;248.69313;0.233741;0.27013701;679;110;679
20575;11849;20578;303.81796;0.241578;0.280224;676;110;676
20576;9064;20579;296.42957;0.25766599;0.28417599;727;110;727
20577;12106;20580;302.12427;0.255808;0.28608501;742;450.84;742
20578;7315;20581;-12321;-12321;-12321;-12321;-12321;-12321
20579;15228;20582;290.57507;0.25061101;0.27993801;602;110;602
20580;6948;20583;270.05356;0.261069;0.28413099;658;100;658
20581;11007;20584;270.15247;0.260923;0.284251;658.20001;100;658.20001
20582;9260;20585;281.18481;0.263073;0.28639901;657;100;657
20583;9530;20586;278.31039;0.263073;0.28909701;611;110;611
20584;19425;20587;248.16875;0.288605;0.28565201;558;100;558
20585;15231;20588;298.12314;0.23370101;0.27545699;799;324.89999;799
20586;15235;20589;327.74725;0.234165;0.28166199;896;288.39999;896
20587;15232;20590;295.25797;0.229378;0.274616;823;342.39999;823
20588;15236;20591;320.30081;0.23014;0.278734;937;302.89999;937
20589;15237;20592;313.78027;0.226601;0.273763;977;317.39999;977
20590;17088;20593;272.39099;0.257119;0.28373799;661;110;661
