ID;PROP_ID;COMP_ID;SurfaceTensionA;SurfaceTensionB;SurfaceTensionN;SurfaceTensionTmin;SurfaceTensionTmax
20545;13231;20548;-12321;-12321;-12321;-12321;-12321
20546;13230;20549;-12321;-12321;-12321;-12321;-12321
20547;12376;20550;-12321;-12321;-12321;-12321;-12321
20548;17123;20551;-12321;-12321;-12321;-12321;-12321
20549;17126;20552;-12321;-12321;-12321;-12321;-12321
20550;17125;20553;-12321;-12321;-12321;-12321;-12321
20551;17577;20554;-12321;-12321;-12321;-12321;-12321
20552;17069;20555;-12321;-12321;-12321;-12321;-12321
20553;16304;20556;-12321;-12321;-12321;-12321;-12321
20554;17089;20557;-12321;-12321;-12321;-12321;-12321
20555;17057;20558;-12321;-12321;-12321;-12321;-12321
20556;17028;20559;-12321;-12321;-12321;-12321;-12321
20557;15919;20560;-12321;-12321;-12321;-12321;-12321
20558;12675;20561;-12321;-12321;-12321;-12321;-12321
20559;12674;20562;-12321;-12321;-12321;-12321;-12321
20560;15577;20563;-12321;-12321;-12321;-12321;-12321
20561;12482;20564;-12321;-12321;-12321;-12321;-12321
20562;12676;20565;-12321;-12321;-12321;-12321;-12321
20563;17087;20566;-12321;-12321;-12321;-12321;-12321
20564;17047;20567;-12321;-12321;-12321;-12321;-12321
20565;16307;20568;-12321;-12321;-12321;-12321;-12321
20566;16306;20569;-12321;-12321;-12321;-12321;-12321
20567;17040;20570;-12321;-12321;-12321;-12321;-12321
20568;17048;20571;-12321;-12321;-12321;-12321;-12321
20569;17042;20572;-12321;-12321;-12321;-12321;-12321
20570;17049;20573;-12321;-12321;-12321;-12321;-12321
20571;17041;20574;-12321;-12321;-12321;-12321;-12321
20572;5852;20575;-12321;-12321;-12321;-12321;-12321
20573;9817;20576;-12321;-12321;-12321;-12321;-12321
20574;14830;20577;-12321;-12321;-12321;-12321;-12321
20575;11849;20578;-12321;-12321;-12321;-12321;-12321
20576;9064;20579;-12321;-12321;-12321;-12321;-12321
20577;12106;20580;-12321;-12321;-12321;-12321;-12321
20578;7315;20581;-12321;-12321;-12321;-12321;-12321
20579;15228;20582;-12321;-12321;-12321;-12321;-12321
20580;6948;20583;-12321;-12321;-12321;-12321;-12321
20581;11007;20584;-12321;-12321;-12321;-12321;-12321
20582;9260;20585;-12321;-12321;-12321;-12321;-12321
