#Eps;#Eps;;
#kEps;#kEps;;
#Kv;#Kv;;
#Mw;#Mw;;
#P входа самого насоса(и);#P of the input of the pump (s);;
#P выхода самого насоса(и);#P output of the pump itself (s);;
#P(а);#P (a);;
#Pow : Текущая мощность (расчетная);#Pow: Current power (estimated);;
#Взять параметры газа;# Take gas parameters;;
#Взять параметры жидк;# Take fluid parameters;;
#Включен;#Switched on;;
#Вход;#Input;;
#Выход;#Output;;
#Выходное Р(и);# Output P (s);;
#Газ;#Gas;;
#Давление;#Pressure;;
#Давление на входе(и);# Inlet pressure (s);;
#Давление на выходе(и);# Outlet pressure (s);;
#Двигатель;#Engine;;
#Дренаж;#Drainage;;
#Дренирует (1:газ/-1:жидк);# Drains (1: gas / -1: liquid);;
#Есть сброс;# There is a reset;;
#Заданный поток, моль;# The set flow, mol;;
#Задать 'Выходное Р(и)';# Set 'Output P (s)';;
#Задать 'Макс. поток kg';# Set 'Max. kg 'flow;;
#Задать 'Перепад';# Set 'Delta';;
#Задать 'Поток kg';# Set 'Feed kg';;
#Задать 'Поток м3';# Set 'Flow m3';;
#Задать 'Поток моль';# Set 'Feed mole';;
#Задать 'Поток нм3';# Set 'Flow nm3';;
#Задвижка;# Gate valve;;
#Локальные блокировки;# Local locks;;
#Макс. поток kg;#Max. kg flow;;
#Масса газа;# Mass of gas;;
#Мощность;#Power;;
#Мощность МВт;# Power MW;;
#Мощность, МВт;# Power, MW;;
#Обороты;# Turnovers;;
#Опт. поворот;# Wholesale. turn;;
#Отн. нагружение;# Rel. loading;;
#Отн. потеря давления;# Rel. pressure loss;;
#Переводить?;#Translate?;;
#Перепад;# Delta;;
#Плотность смеси;# Density of the mixture;;
#Показания мощности;#Power indications;;
#Потери потока м3;# Loss of flow m3;;
#Поток kg;# Feed kg;;
#Поток дренажа моль;# Mole drainage flow;;
#Поток кг;# Feed kg;;
#Поток м3;# Flow m3;;
#Поток моль;# Stream of moth;;
#Поток нм3;#Nm3 flux;;
#Поток 'Рег_расхода';# Stream 'Cost_reg';;
#Прочитать состояние;# Read status;;
#Пуск/Стоп;# Start / stop;;
#Работает;#Works;;
#Сбросить;# Reset;;
#Сброшен;# Reset;;
#Состояние;#Condition;;
#Сохранить состояние;# Save state;;
#Срабатывание блокировки;# Lock operation;;
#Срабатывание блокировки в ...;# Lock operation in ...;;
#Т;# T;;
#Текущая T горения;# Current T burning;;
#Текущее время мин;# Current time min;;
#Температура;#Temperature;;
#Температура на входе;# Inlet temperature;;
#Температура на выходе;# Outlet temperature;;
#Ток, А;# Current, A;;
#Убрать сброс;# Remove reset;;
#Фаза горения;#Burning phase;;
#Фактические обороты;# Actual speed;;
#Число шагов сброса;# Number of reset steps;;
#Энтальпия потока;# Enthalpy of flow;;
//Полимер;//Polymer;;
/Аналоговые точки;/ Analog points;;
/Газ;/Gas;;
/Горение;/Combustion;;
/Дискретные точки;/ Discrete points;;
/Дренажи;/ Drainages;;
/Жидкость;/Liquid;;
/Заданная х-ка;/ Given x;;
/Задвижки;/ Gate valves;;
/Линейная х-ка;/ Linear h-ka;;
/Нагрев корпуса;/ Case heating;;
/Нелинейности;/ Nonlinearity;;
/Объемный;/Volume;;
/Отказы;/ Failures;;
/Пусковой ток;/Starting current;;
/Сброс;/ Reset;;
/Состояние;/Condition;;
/Температуры;/ Temperature;;
/Ток;/Current;;
/Уплотнения;/ Seals;;
/ХХ;/ XX;;
0-стоит,1-работает;0-stands, 1-works;;
1-выход = 0 для плунжерного насоса;1-output = 0 for plunger pump;;
-1-стоп,1-пуск;-1-stop, 1-start;;
A тока;A current;;
B тока;B current;;
def_Omega_Razgerm;def_Omega_Razgerm;;
Eps на всасе;EPS on suction;;
Gamma;Gamma;;
Gamma Азот(5);Gamma Nitrogen (5);;
Gamma Бутан(3);Gamma Bhutan (3);;
Gamma Вода(7);Gamma Water (7);;
Gamma Водород(8);Gamma Hydrogen (8);;
Gamma газа;Gamma gas;;
Gamma Диоксид углерода(10);Gamma Carbon Dioxide (10);;
Gamma Кислород(6);Gamma Oxygen (6);;
Gamma Масло(11);Gamma Oil (11);;
Gamma Метан(0);Gamma Methane (0);;
Gamma Монооксид углерода(9);Gamma Carbon Monoxide (9);;
Gamma Пентан(4);Gamma Pentane (4);;
Gamma Пропан(2);Gamma Propane (2);;
Gamma Этан(1);Gamma Ethan (1);;
H Азот;H Nitrogen;;
H Бутан;H Bhutan;;
H Вода;H Water;;
H Водород;H Hydrogen;;
H Диоксид углерода;H carbon dioxide;;
H Кислород;H Oxygen;;
H Масло;H Oil;;
H Метан;H methane;;
H Монооксид углерода;H Carbon Monoxide;;
H Пентан;H Pentane;;
H Пропан;H Propane;;
H Этан;H Ethan;;
Henry;Henry;;
kТ газа на входе;kT of gas at the inlet;;
kТ газа на выходе;kT of gas at the outlet;;
L_масла_в_б.у.;L_oil_in_b.u.;;
L_норм_в_б.у.;L_norm_in_b.u.;;
Mu жидкости;Mu fluid;;
O max для заданного потока;O max for a given stream;;
O min для заданного потока;O min for a given stream;;
P_масла_в_б.у.;P_oil_in_b.u.;;
P_норм_в_б.у.;P_norm_v_bu.u.;;
Pow1 - расчетная мощность 1;Pow1 - TDP 1;;
Pow2 - расчетная мощность 2;Pow2 - TDP 2;;
S охлаждения;S cooling;;
T_масла_в_б.у.;T_oil_in_b.u.;;
T_норм_в_б.у.;T_norm_v_bu.u.;;
Абсолютные обороты насоса;Absolute speed of the pump;;
Аварийный стоп;Emergency stop;;
Аварийный ток;Emergency current;;
Авария;Crash;;
Амперметр;Ammeter;;
АСУ;ACS;;
Атмосфера;Atmosphere;;
Базовая модель расчета тока;Basic model for calculating current;;
Блокировки;Locks;;
БП;BP;;
Вклад внешнего привода насоса;Contribution of external pump drive;;
Внешний_привод;External_drive;;
Возобновление подачи/приема;Resume Feeding / Receiving;;
Восстановление;Recovery;;
Восстановление работоспособности;Health recovery;;
Восстановление состава;Restoration of the composition;;
Время горения мин;Burning time min;;
Время закрытия c;Closing time c;;
Время игнорирования РСУ (сек);DCS Ignore Time (sec);;
Время изменения час;Change time hour;;
Время набора оборотов с;Speed ??up with;;
Время останова с;Stop time s;;
Время останова, с;Stop time, s;;
Время открытия c;Opening time c;;
Время охлаждения мин;Cooling time min;;
Время работы ХХ с;XX working time;;
Время разгона, с;Acceleration time, s;;
Время разгорания мин;Min boost time;;
Время слива сек;Drain time sec;;
Вывод;Conclusion;;
Вывод давления;Pressure output;;
Вывод потока кг;Kg flow output;;
Вывод потока м3;Flow output m3;;
Вывод температуры;Temperature output;;
Высота конца дымовой трубы;Chimney end height;;
Выход двигателя из строя;Engine failure;;
Газ;Gas;;
Газовая_задвижка;Gas valve;;
Готовность;Readiness;;
Давление;Pressure;;
Давление на нагнетании;Discharge pressure;;
Давление упл. масла;Pressure acc. oils;;
Давление упл. масла в норме - 1;Pressure acc. oil is normal - 1;;
Давление(и);Pressure (s);;
Датчики;Sensors;;
Датчики вибраций;Vibration sensors;;
Датчики Т корпуса;Housing Sensors T;;
Датчики Т подшипников;Sensors T bearings;;
Двигатели;Engines;;
Дист с РСУ;DCS dist;;
Дистанционное_управление;Remote control;;
Дистанционный;Remote;;
Есть аварийный останов;There is an emergency stop;;
Есть БУ у всех насосов;All pumps have control units;;
Есть БУ у данного насоса;There is a control unit for this pump;;
Железный пуск;Iron start;;
Железный стоп;Iron stop;;
Жидкость;Liquid;;
Зависимость проходимости от Eps;Eps patency;;
Загазованность;Gas contamination;;
Загазованность, %ПДК;Gas contamination,% MPC;;
Загазованость в %ПДК;Gas contamination in% MPC;;
Загрузка_0;Download_0;;
Загрузка_100;Download_100;;
Загрузка_25;Download_25;;
Загрузка_50;Download_50;;
Загрузка_75;Download_75;;
Задавать перепад;Set differential;;
Задавать поток;Set stream;;
Задание;The task;;
Задание по месту;Assignment in place;;
Задание_0;Task_0;;
Задание_100;Task_100;;
Задание_25;Task_25;;
Задание_50;Task_50;;
Задание_75;Task_75;;
Задания;Tasks;;
Заданная температура;Set temperature;;
Заданнные абсолютные обороты насоса;Preset absolute speed of the pump;;
Заданнные обороты насоса;Preset Pump Speed;;
Заданный перепад;Preset differential;;
Заданный поток, кг;The set flow, kg;;
Задано;Set by;;
Заданые_обороты;Assigned_Rates;;
Задать сами потоки;Set threads themselves;;
Заклинивание поворотного механизма;Jamming of the rotary mechanism;;
Закупорка;Blockage;;
Замедление нелинейности;Slow down nonlinearity;;
Замедление регулировки;Slow down adjustment;;
Замедление х-ки;Slow down h-ki;;
Замок;Lock;;
Запрет пуска;Start inhibit;;
Игнорировать РСУ;Ignore DCS;;
Изменение давления;Pressure change;;
Изменение давления в бачке уплотнения;Change in pressure in the seal tank;;
Изменение состава;Composition change;;
Изменение температуры;Temperature change;;
Изменение температуры в бачке уплотнения;Temperature change in seal tank;;
Изменение уровня в бачке уплотнения;Level change in seal tank;;
Имя параметра управления;Control parameter name;;
Инвертировать положение-задание;Invert job position;;
Использовать заданную х-ку;Use the given x-ku;;
Использовать расширения;Use extensions;;
Исправна;OK;;
К охлаждения;To cooling;;
К: Показания мощности = K * Pow;K: Power reading = K * Pow;;
Кзадв;Kzadv;;
Кл_1;CL_1;;
Кл_2;CL_2;;
Клапан_1;Valve_1;;
Клапан_2;Valve_2;;
Клапан_3;Valve_3;;
Компрессора;Compressor;;
Конструктив;Constructive;;
Коэффициент мощности;Power factor;;
Коэффициент тока;Current ratio;;
КПД %%;Efficiency %%;;
Крит. скорость;Crete. speed;;
Линейная;Linear;;
Линейная;Квадрат;Exp;Равно%
Макс вибрация;Max vibration;;
Макс осевой сдвиг;Max axial shift;;
Макс. загазованность в % ПДК;Max. gas contamination in% MAC;;
Макс. превышение производительности;Max. excess performance;;
Макс. Т;Max. T;;
Макс. ток;Max. current;;
Максимальная T горения;Maximum T burning;;
Максимальная мощность кВт;Maximum power kW;;
Максимальное давление на выкиде(и);Maximum ablation pressure (s);;
Максимальное число сбросов подряд;Maximum consecutive discharges;;
Максимальный ток;Maximum current;;
Манометр измеряет давление на выкиде;Pressure gauge measures pressure;;
Масса корпуса;Body weight;;
Масштаб тока;Current scale;;
Местн/Дист с РСУ;Mestn / Dist with RSU;;
Мин поток слива;Min flow drain;;
Мин. Т;Min T;;
Минимальная производительность, %;Minimum productivity,%;;
Минимальное давление на всасе(и);Minimum suction pressure (s);;
Минимальный подпор(а);Minimum Backwater (a);;
Минимальный поток сброса моль;Min Mole Discharge Flow;;
Модель пускового тока;Inrush Current Model;;
Момент;Moment;;
Момент вращения, %;The moment of rotation,%;;
Мощность;Power;;
Мощность(Ro);Power (Ro);;
Мощность, кВт;power, kWt;;
Мощность, с учетом зависимости от плотности, kWt;Power, depending on the density, kWt;;
Нагрузка;Load;;
Наличие напряжения в сети;The presence of voltage in the network;;
Напор 1, %;Head 1,%;;
Напор 10, %;Head 10%;;
