Имя;Описание;Группа;Расширение;Папка;Тип;Новая Группа;Группа Проекта
PID;Использовать встроенные модели PID;Параметры;;;3;0;0
Альтернативные;Вывод в составах альтернативных имен компонентов;Параметры;;;3;0;0
Анализ;Анализ;Параметры;;;3;0;0
Блокировки;Блокировки включены;Параметры;;;3;0;0
Брать размерности;Брать размерности  из установочных файлов;Параметры;;;3;0;0
Вода по IAPWS;Расчет воды по ур-ию IAPWS;Параметры;;;3;0;0
Вторая линия;Программное копирование состояния и параметров по списку соответствия;Параметры;;;3;0;0
Дополнения;Дополнения;Параметры;;;0;0;0
Загазованность;Загазованность;Параметры;;;3;0;0
Заданное ускорение;Заданное ускорение;Параметры;;;1;0;0
Заливать;Заливать;Параметры;;;0;0;0
Имя КИП;Имя КИП;Параметры;;;0;0;0
Кокс;Включение кокса в состав компонентов;Параметры;;;3;0;0
Контроль переменных;Контроль переменных c записью в Resume;Параметры;;;3;0;0
Контроль по датчикам;Контроль стабильности по значениям  датчиков;Параметры;;;3;0;0
Максимальная температура;Максимальная температура;Параметры;;;1;0;0
Максимальное давление;Максимальное давление насыщенных паров;Параметры;;;1;0;0
Максимальный шаг по времени;Максимальный шаг по времени;Параметры;;;1;0;0
Массовые доли;Вывод составов по умолчанию;Параметры;;;3;0;0
Минимальная температура;Минимальная температура;Параметры;;;1;0;0
Модель;Модель;Параметры;;;0;0;0
Модули АРМ;Требуемые модули АРМ;Параметры;Модули*exe*dll;..\..\System\Exe;5;0;0
Начальный шаг по времени;Начальный шаг по времени;Параметры;;;1;0;0
Описание обвязки клапанов;Описание обвязки клапанов из Клапана.csv;Параметры;;;3;0;0
Отказы дискретов;Добавление отказов дискретов в Инструкторе;Параметры;;;3;0;0
Отладка;Отладка;Параметры;;;3;0;0
Порошковый транспорт;Расчет транспорта порошка;Параметры;;;3;0;0
Порошок;Присутствие в составах порошков (гранул);Параметры;;;3;0;0
Потоки;Потоки;Параметры;;;2;0;0
Путь DLL катализатора;Путь DLL PipeCat трубы с катализатором;Параметры;;;0;0;0
Расщеплять группу 1;Число потоков расчета гидравлики;Параметры;;;2;0;0
Расщеплять группу 2;Число потоков расчета гидравлики;Параметры;;;2;0;0
Сера;Включение соединений серы в состав компонентов;Параметры;;;3;0;0
Скрипты;Используются VBS;Параметры;;;3;0;0
Схемы с невидимками;Схемы с невидимками;Параметры;;;3;0;0
Температура окружающей среды;Температура окружающей среды;Параметры;;;1;0;0
Упростить неиспользуемые;Упростить неиспользуемые;Параметры;;;3;0;0
Ускоренная гидравлика;Ускоренная гидравлика;Параметры;;;3;0;0
Файл РСУ;Файл РСУ;Параметры;;;0;0;0
Фильтр РСУ;Уровень фильтрации блоков РСУ;Параметры;;;2;0;0
Химия;Вывод составов в виде списка компонентов;Параметры;;;3;0;0
Чтение данных оборудования;Чтение файлов Equipment;Параметры;;;3;0;0
Шаг останова;Задание шага останова;Параметры;;;2;0;0
Интервал авто-сохранения;Интервал авто-сохранения в минутах;Параметры;;;2;0;0
