;Потоки;;;
нм3/ч;11;22.414;;
Нм3/ч;11;22.414;;
Nm3/h;11;22.414;;
См3/ч;11;22.414;;
Cм3/ч;11;22.414;;
см3/ч;11;22.414;;
м3/ч;12;-1;;Особые
m3/h;12;-1;;Особые
кг/ч;13;-2;;Особые
kg/h;13;-2;;Особые
т/ч;14;-4;;Особые
t/h;14;-4;;Особые
л/ч;15;-3;;Особые
т.м3/ч;16;2.24E-02;;
тнм3/ч;16;2.24E-02;;
м3/ч(газ);17;-5;;Особые
;Давления;;;
атм;21;1;;
кг/см2;21;1;;
кгс/см;21;1;;
кгс/м2;25;10000;;
Па;22;98066.5;;
кПа;23;98.067;;
KpaG;23;98.067;;
kPa;23;98.067;;
МПа;24;0.098;;
MPa;24;0.098;;
ммв.ст;25;10000;;
ммН2О;25;10000;;
ммрт.ст;126;760;;
BAR;21;1;;
ммрт.;126;760;;
;Температура;;;
C;31;1;;
град.;31;1;;
°C;31;1;;
;Прочие;;;
ppm;2;1000000;;
сек;3;3600;;
кг/м3;4;1;;
мг/л;5;-6;;Особые
мг/м3;6;-7;;Особые
(None);1;1;;
%;7;100;;
MM;1;1;;
мкСим;1;1;;
мм;1;1;;
pH;1;1;;
об/мин;1;1;;
r/min;1;1;;
rpm;1;1;;
ч;1;1;;
g rms;1;1;;
RPM;1;1;;
rpm;1;1;;
%НКПВ;1;1;;
A;1;1;;
мкм;1;1;;
минуты;1;1;;
мкC/см;1;1;;
uS/cm;1;1;;
м;1;1;;
