НомерГруппы;ИмяГруппы;Точка1;Точка2;Точка3;Точка4;Точка5;Точка6;Точка7;Точка8;Точка9;Точка10;Точка11;Точка12;Точка13;Точка14;Точка15;Точка16;Точка17;Точка18;Точка19;Точка20;Точка21;Точка22;Точка23;Точка24;Точка25;Точка26;Точка27;Точка28;Точка29;Точка30;Точка31;Точка32
1;;;20PY013C2.automana.NORMMODE;10TI054.DACA.PV;10TI055.DACA.PV;10TC179.DACA.PV;10TI182.DACA.PV;10FC091.DACA.PV;10TC162.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
3;Problem tempr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Problem tempr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;10TI991.DACA.PV;10TI271.DACA.PV;55PI179_1.daca.pv;10FI802.DACA.PV;10TI821.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;10PC906.PIDA.SP;10PC906.PIDA.OP;10PC906.PIDA.PV;10SI918.DACA.PV;10PC806.PIDA.SP;10PC806.PIDA.OP;10PC806.PIDA.PV;10SI818.DACA.PV;10SI818.DACA.PV;10TI824.PV;10TI823.DACA.PV;10PI836.DACA.PV;10PI846.DACA.PV;10TC830.PIDA.PV;10TC830.PIDA.OP;10SYC1002BX.AUTOMANA.OP;10TV830.HDYNVAL[4];10HY800A.HDYNVAL[4];10PV806.HDYNVAL[4];;;;;;;;;;;;;
16;;10TC066.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;93PI463.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;30LC015.PIDA.OP;30TI754.PV;51FC019.PIDA.OP;51FC019.PIDA.PV;51FC020.PIDA.OP;51FC020.PIDA.PV;51FC022.PIDA.OP;51FC022.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;
101;;10PDI079F.DACA.PV;10PC077.PIDA.PV;10FC047.PIDA.PV;10TI127.DACA.PV;10FC046.PIDA.PV;10PDI079C.DACA.PV;10PDI079D.DACA.PV;10PDI079G.DACA.PV;10PDI079H.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;
112;;30FI905.DACA.PV;30FI906.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;;10FQ062.DACA.PV;10TC162.PIDA.PV;10PI081.DACA.PV;10TI161.DACA.PV;10TI157.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;;30VI975.PV;30VI975A.PV;30VI976.PV;30VI976A.PV;30TI884B.DACA.PV;30TI884F.PV;30PI056.PV;30TI876E.DACA.PV;30TI876F.DACA.PV;30TI790.DACA.PV;;;;;;;;;;;;;;;;;;;;;;
150;;30LI058.PV;30TI754.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;;30PC026.PIDA.SP;30PC026.PIDA.PV;30PC026.PIDA.OP;30PI168.DACA.PV;30FI138.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;;30LC026.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;;30TC037.PIDA.PV;30LS009.PV;30LS010.PV;30FC046.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;;10PC089.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;;10FV805A.HDYNVAL[4];10FV805B.HDYNVAL[4];10FY805A.AUTOMANA.OP;10FY805B.AUTOMANA.OP;;;;;;;;;;;;;;;;;;;;;;;;;;;;
444;;86HX023.DEVCTLA.NUMTRANS[0];86HX023.DEVCTLA.NUMTRANS[1];86HX023.DEVCTLA.NUMTRANS[2];86HX023.DEVCTLA.STATETIME(1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;;10PI018.DACA.PV;10TI071.DACA.PV;10FI093C.DACA.PV;10FI061.DACA.PV;10PC077.PIDA.PV;10FI001.DACA.PV;10TC122.PIDA.PV;10PC916A.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;
456;;30TI060.DACA.PV;30FI034.DACA.PV;30FC027.PIDA.PV;30PI056A.PV;30PC906.DACA.PV;30PI033.DACA.PV;30PI074A.DACA.PV;30PI074B.PV;30PC084.PIDA.PV;30TC067.PIDA.PV;30TC039.PIDA.PV;30PI143A.PV;30PI162A.PV;30PI163A.PV;30PI164A.PV;30PC069.PIDA.PV;30PC055.PIDA.PV;30PC026.PIDA.PV;30TI074.DACA.PV;30FI069.DACA.PV;30TI034.DACA.PV;;;;;;;;;;;
500;;10FC031A.PIDA.PV;10FC031B.PIDA.PV;10FC031C.PIDA.PV;10FC031D.PIDA.PV;10FC031E.PIDA.PV;10FC031F.PIDA.PV;10FC031G.PIDA.PV;10FC031H.PIDA.PV;10PI018.DACA.PV;10TI054.DACA.PV;;;;;;;;;;;;;;;;;;;;;;
501;;10FI036A.PV;10FI036B.PV;10FI036C.PV;10FI036D.PV;10FI036E.PV;10FI036F.PV;10FI036G.PV;10FI036H.PV;10PI018.DACA.PV;10TI055.DACA.PV;;;;;;;;;;;;;;;;;;;;;;
502;;10FI001.DACA.PV;10TC074.PIDA.PV;10TC091.PIDA.PV;10PC077.PIDA.PV;10LC010.PIDA.PV;10FI061C.DACA.PV;10FC091.PIDA.PV;10FI093C.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
555;;30PC026.PIDA.PV;30PI027A.DACA.PV;30PI027B.DACA.PV;30PDI027.DACA.PV;30PI168.DACA.PV;30FI138.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
654;;10SI805.DACA.PV;10SI815.DACA.PV;10SI975.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
677;;51TI100.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
800;;51PI833B.PV;51TI834D.PV;51TI834E.PV;51TI834F.PV;51VI925.PV;51VI926.PV;51PDI831.DACA.PV;51PI833A.DACA.PV;51PI833C.DACA.PV;51PI833D.DACA.PV;51TI834A.DACA.PV;51TI834C.PV;51TI834B.PV;51TI837.DACA.PV;51TI838A.DACA.PV;51TI838B.DACA.PV;51TI838C.DACA.PV;51TI834D2.PV;;;;;;;;;;;;;;
