Файл РСУ;Строка;Объект;Модель;Точка модели;Тип РСУ;Сообщение
Связи_MM_Level;2;M;;;;Ошибочное название структуры
Связи_MM_Level;2;M;;;;Ошибочное название структуры
Связи_MM_Level;3;M;;;;Ошибочное название структуры
Связи_MM_Level;3;M;;;;Ошибочное название структуры
Связи_MM_Level;4;M;;;;Ошибочное название структуры
Связи_MM_Level;4;M;;;;Ошибочное название структуры
Связи_MM_Level;5;M;;;;Ошибочное название структуры
Связи_MM_Level;5;M;;;;Ошибочное название структуры
Связи_MM_Level;6;M;;;;Ошибочное название структуры
Связи_MM_Level;6;M;;;;Ошибочное название структуры
