ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
C_3001A_LOAD;;AO;;М_C-3001A;M;Задание;;
C_3001S_LOAD;;AO;;М_C-3001S;M;Задание;;
KIP_FLOW_A;;DI;;P_C3001A;M;Показания;#(x>2);
KIP_FLOW_B;;DI;;P_C3001S;M;Показания;#(x>2);
;;;;;;;;
#Розжиг;;;;;;;;
IGNITE_1;;DI;;PILOT_1;HS->RSU;;;
IGNITE_2;;DI;;PILOT_2;HS->RSU;;;
IGNITE_3;;DI;;PILOT_3;HS->RSU;;;
IGNITE_4;;DI;;PILOT_4;HS->RSU;;;
OPEN_1;;DO;;Н-3001;M;Открыть_пилот_1;;
OPEN_2;;DO;;Н-3001;M;Открыть_пилот_2;;
OPEN_3;;DO;;Н-3001;M;Открыть_пилот_3;;
OPEN_4;;DO;;Н-3001;M;Открыть_пилот_4;;
BURN_1;;DO;;Н-3001;M;Розжиг_пилот_1;;
BURN_2;;DO;;Н-3001;M;Розжиг_пилот_2;;
BURN_3;;DO;;Н-3001;M;Розжиг_пилот_3;;
BURN_4;;DO;;Н-3001;M;Розжиг_пилот_4;;
;;;;;;;;
#Маслонасосы;;;;;;;;
C3001A_P1_START;;DO;;C-3001A-P1;M;Пуск;;
C3001A_P1_STOP;;DO;;C-3001A-P1;M;Стоп;;
C3001S_P1_START;;DO;;C-3001S-P1;M;Пуск;;
C3001S_P1_STOP;;DO;;C-3001S-P1;M;Стоп;;
;;;;;;;;
#Нагреватели;;;;;;;;
DI_H1_START;;DI;;C3001_H1_START;HS->RSU;;;
DI_H1A_START;;DI;;C3001A_H1_START;HS->RSU;;;
DI_H1S_START;;DI;;C3001S_H1_START;HS->RSU;;;
DI_H2A_START;;DI;;C3001A_H2_START;HS->RSU;;;
DI_H2S_START;;DI;;C3001S_H2_START;HS->RSU;;;
DI_H1_STOP;;DI;;C3001_H1_STOP;HS->RSU;;;
DI_H1A_STOP;;DI;;C3001A_H1_STOP;HS->RSU;;;
DI_H1S_STOP;;DI;;C3001S_H1_STOP;HS->RSU;;;
DI_H2A_STOP;;DI;;C3001A_H2_STOP;HS->RSU;;;
DI_H2S_STOP;;DI;;C3001S_H2_STOP;HS->RSU;;;
DO_H1_START;;DO;;C-3001-V1;M;Вкл_нагрев;;
DO_H1A_START;;DO;;МБ_C-3001A;M;Вкл_нагрев;;
DO_H1S_START;;DO;;МБ_C-3001S;M;Вкл_нагрев;;
DO_H2A_START;;DO;;C-3001A-V7;M;Вкл_нагрев;;
DO_H2S_START;;DO;;C-3001S-V7;M;Вкл_нагрев;;
DO_H1_STOP;;DO;;C-3001-V1;M;Выкл_нагрев;;
DO_H1A_STOP;;DO;;МБ_C-3001A;M;Выкл_нагрев;;
DO_H1S_STOP;;DO;;МБ_C-3001S;M;Выкл_нагрев;;
DO_H2A_STOP;;DO;;C-3001A-V7;M;Выкл_нагрев;;
DO_H2S_STOP;;DO;;C-3001S-V7;M;Выкл_нагрев;;
DI_T1_STOP;;DI;;C-3001-V1;M;Температура;#(x>50);
DI_T1A_STOP;;DI;;МБ_C-3001A;M;Температура;#(x>50);
DI_T1S_STOP;;DI;;МБ_C-3001S;M;Температура;#(x>50);
DI_T2A_STOP;;DI;;C-3001A-V7;M;Температура;#(x>50);
DI_T2S_STOP;;DI;;C-3001S-V7;M;Температура;#(x>50);
DI_L1_STOP;;DI;;C-3001-V1;M;Уровень;#(x<20);
DI_L1A_STOP;;DI;;МБ_C-3001A;M;Уровень;#(x<20);
DI_L1S_STOP;;DI;;МБ_C-3001S;M;Уровень;#(x<20);
DI_L2A_STOP;;DI;;C-3001A-V7;M;Уровень;#(x<20);
DI_L2S_STOP;;DI;;C-3001S-V7;M;Уровень;#(x<20);
;;;;;;;;
CC_30PT783A;;AI;;P783A;M;Показания;;
CC_30PT883A;;AI;;P883A;M;Показания;;
