ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
00XS301D01_G1;PLC=425/FLD=18(CAB);DI;IB301 DCS01 ALARM PS G1;;;;;
30XY063;PLC=1548/FLD=415(MCC);DO;P-3017A-STOP TECH FAIL;Р-3017A;M;Стоп2;#0;
30HS0103B2;PLC=1320/FLD=458(PNL);DI;30XV103 OPEN;30HS103B;HS->RSU;;#0;
30XSC096C;PLC=0/FLD=448(FLD);DI;30XV096 READY TO CLOSE;XV-096;M;Открыт;;
30XA947H;PLC=1473/FLD=1162(LCP);DO;VALVES POSITION DISCR;30XA947H;RSU->HS;;;
30HS047A_2;PLC=1834/FLD=1221(FLD);DI;C-3001A EMERGENCY STOP;30HS047A;HS->RSU;;#0;
30BSLL901B;PLC=10071/FLD=549(FLD);AI;BURNER 4;Н-3001;M;Интенсивность_пламени_2;;
30BALL900A;PLC=1445/FLD=1172(LCP);DO;BURNER 1;30BALL900A;RSU->HS;;;
30HS120BB;PLC=1429/FLD=233(PNL);DI;SD AT FIRE - T 03  PUMPH;30HS120B;HS->RSU;;#0;
30HS018C_2;PLC=1828/FLD=543(FLD);DI;LOCAL PANEL E.S.D;30HS018C;HS->RSU;;#0;
30LSLL883;PLC=1370/FLD=1202(FLD);DI;C-3001A LEV OIL RES CYL;C-3001A-V7;M;Уровень;#(X>20);
00XS301E01P03;PLC=1312/FLD=18(CAB);DI;IB301 ESD-01 ALARM PS 03;;;;;
30PI164B;PLC=10123/FLD=565(FLD);AI;OUTLET FROM H3001 COIL 4;P164;M;Показания;;
30VSHH975;PLC=1304/FLD=1430(BNS);DI;C-3001S VIBR CRANK VERT;;;;#=1;
30TI849B2;PLC=10431/FLD=275(FLD);AI;P-3006 S THRUST BEARING;Р-3006S;M;Температура_4;;
30XL047_ON;PLC=13/FLD=239(FSC);DO;C-3001A EMERG. SD;;;;;
30TI841B2;PLC=10427/FLD=267(FLD);AI;P-3004 S THRUST BEARING;Р-3004S;M;Температура_3;;
30LI064;PLC=10103/FLD=554(FLD);AI;V3017 FUEL GAS SEPARATOR;V-3017;M;Уровень;;
30XY020S;PLC=999/FLD=438(MCC);DO;P-3002S STOP ESD;М_P_3002S;M;Стоп2;#0;
30HS706_REL;PLC=8/FLD=43(FSC);DI;ESD MOS REL AREA 3000;;;;;
30HS125BB;PLC=1439/FLD=242(PNL);DI;STOP AT FIRE- T 06-PUMPH;30HS125B;HS->RSU;;#0;
30HS047_2;PLC=1375/FLD=239(PNL);DI;C-3001A EMERGENCY STOP;30HS047;HS->RSU;;#0;
30XZSC900;PLC=1388/FLD=1136(FLD);DI;FLUE GAS;XV-900;M;Закрыт;#0;
30XL937A;PLC=1492/FLD=1166(LCP);DO;LEAK TEST COMPLETED;30XL937A;RSU->HS;;#0;
30TI851A2;PLC=10396/FLD=321(FLD);AI;P-3012 A  LINE BEARING;Р-3012A;M;Температура_2;;
30HS047BA;PLC=1223/FLD=239(FLD);DI;C-3001 EMERGENCY STOP;30HS047B;HS->RSU;;#0;
30FI777B1;PLC=10443/FLD=1187(FLD);AI;C-3001A COOL H20 CYL 2;F777B;M;Показания;;
30XL119_ON;PLC=17/FLD=232(FSC);DO;GROUP SD AT FIRE - N. 03;;;;;
30XZSC911;PLC=0/FLD=1134(FLD);DI;PILOT FUEL GAS;XV-911;M;Закрыт;#0;
30TI843B2;PLC=10422/FLD=451(FLD);AI;P-3005 A THRUST BEARING;;;;;
30TI896;PLC=10208/FLD=412(FLD);AI;TEMP ISOLATION SHELL;Изм_Р-3017S;M;Температура_3;;
30HSXV016;PLC=1797/FLD=436(FLD);DI;30XV016 BUTTON FEED;XV-016_HS;HS->RSU;;#0;
30HY007;PLC=1453/FLD=436(FLD);DO;HP H20 STEAM COIL4 H3001;HV-007;M;Соленоид;#0;
30LI048;PLC=10097/FLD=430(FLD);AI;V-3012 SUPPLY WATER;V-3012;M;Уровень;#ScaleN(56,100,0,100);
30XY908;PLC=1264/FLD=1128(FLD);DO;FUEL GAS;XV-908;M;Соленоид;#0;
30XZSO906;PLC=0/FLD=1124(FLD);DI;FUEL GAS;XV-906;M;Открыт;#0;
30XA947B;PLC=1467/FLD=1160(LCP);DO;INTERNAL FIRE TRIP;30XA947B;RSU->HS;;;
30XY031;PLC=1537/FLD=454(MCC);DO;P-3005A-STOP TECH FAIL;Р-3005A;M;Стоп2;#0;
30FI777A2;PLC=10447/FLD=1186(FLD);AI;C-3001A COOL H20 CYL 1;F777A;M;Показания;;
30TI855A;PLC=10194/FLD=351(FLD);AI;P-3013 A  LINE BEARING;Р-3013A;M;Температура_1;;
30HS937;PLC=1362/FLD=611(FLD);DI;LEAK TEST;30HS937;HS->RSU;;;
30XZSO908;PLC=0/FLD=1128(FLD);DI;FUEL GAS;XV-908;M;Открыт;#0;
30HY896;PLC=0/FLD=1236(MCC);DO;C-3001A LO START PM1S;C-3001A-P1S;M;Пуск;;
00XS301EMC02;PLC=1380/FLD=18(MAR);DI;IB301 COMM ALARM EMC02;;;;;
30TI833;PLC=10176/FLD=1363(FLD);AI;P-3003S PUMP J. BEAR. T.;Р-3003S;M;Температура_3;;
30BSLL900A;PLC=10068/FLD=547(FLD);AI;BURNER 1;Н-3001;M;Интенсивность_пилот_1;;
30HS118AB;PLC=1334/FLD=231(FLD);DI;SD AT FIRE P-3021 - T.02;30HS118A;HS->RSU;;#0;
30HS023AA;PLC=1324/FLD=254(FLD);DI;CLS XV023-094/ P-3003A/S;30HS023A;HS->RSU;;#0;
30HS118BB;PLC=1336/FLD=231(PNL);DI;SD AT FIRE P-3021 - T.02;30HS118B;HS->RSU;;#0;
30XL910B;PLC=1489/FLD=1178(LCP);DO;BLEED VALVE OPEN;30XL910B;RSU->HS;;;
30TI849A2;PLC=10430/FLD=274(FLD);AI;P-3006 S  LINE BEARING;Р-3006S;M;Температура_2;;
30TI851A;PLC=10190/FLD=321(FLD);AI;P-3012 A  LINE BEARING;Р-3012A;M;Температура_1;;
30XS870;PLC=1384/FLD=1428(MCC);DI;C-3001S CYL.OIL PM2 STOP;C-3001S-P2;M;Состояние;;
30XY103;PLC=0/FLD=458(FLD);DO;STEAM TO FIREBOX H-3001;XV-103;M;Соленоид;#0;
