ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
FGS_301_1.30XL179;PLC=50/FLD=914(FSC);DO;AB3003 Running;;;;;
FGS_301_1.10HS367;PLC=1/FLD=100(FSC);DI;Ack fire H&B (3000) (FDAP-C);;;;;
FGS_301_1.30XZLC104.OPFL;PLC=46/FLD=1008(FSC);DO;Задвижка 30XV104-закрыта;30XV104_CL;RSU->HS;;#0;
00XS301G01P01;PLC=417/FLD=22(CAB);DI;IB30-1 COMM. ALARM FGS-01 POWER SUPPLY 01;;;;;
30HS210;PLC=467/FLD=530(FLD);DI;Checking 30XA536,30XA537, 30XA562;;;;;
30XY550B;PLC=593/FLD=534(FLD);DO;Near V-3028;;;;;
FGS_301_1.FGS_001_1_SnS1;PLC=42/FLD=60(FSC);DO;SafeNet LINK STATUS;;;;;
30XY544B;PLC=592/FLD=526(FLD);DO;Near V-3023;;;;;
30XY580A;PLC=547/FLD=190(FLD);DO;Внутри здания(в осях 10/А);;;;;
30HY179;PLC=529/FLD=914(MCC);DO;"AВ3003 ""Стоп"" (STOP)";;;;;
FGS_301_1.30XZA300;PLC=41/FLD=808(FSC);DO;Задвижка 30XV300-муфта;;;;;
30HS213;PLC=468/FLD=518(FLD);DI;Checking 30XA535;;;;;
30YT008;PLC=11117/FLD=168(FLD);AI;У насосов P-3013A/S (в осях 2/A);;;;#=83;
30XY576B;PLC=567/FLD=164(FLD);DO;Внутри здания(в осях 7/А);;;;;
30XY574B;PLC=565/FLD=163(FLD);DO;Стойка эстакады 7-C12;;;;;
30XY584A;PLC=551/FLD=202(FLD);DO;Внутри здания(в осях 1/В);;;;;
30HY190A;PLC=532/FLD=916(MCC);DO;"AВ3004  ""ПУСК"" (START)";;;;;
30HS353;PLC=452/FLD=164(FLD);DI;Проверка 30XA575B/A, 30XA576B/A, 30XA577B/A;;;;;
30GT507;PLC=11329/FLD=318(FLD);AI;Near P-3003S;GI507;M;Показания;#ScaleN(0,100,361,3439);
30HS351;PLC=450/FLD=204(FLD);DI;Проверка 30XA572B/A, 30XA573B/A;;;;;
30XY556B;PLC=599/FLD=538(FLD);DO;Overpass, near 7-С16;;;;;
30HS217;PLC=476/FLD=556(FLD);DI;Checking 30XA554,30XA555;;;;;
30XY570A;PLC=537/FLD=200(FLD);DO;Стойка эстакады 7-C20;;;;;
