Имя;Без воздуха;Без электроэнергии;Диалог
HV-001;Открывается;Не влияет;
HV-006;Открывается;Не влияет;
HV-022;Закрывается;Не влияет;
HV-027;Открывается;Не влияет;
HV-033;Открывается;Не влияет;
HV-034;Открывается;Не влияет;
HV-041;Открывается;Не влияет;
HV-042;Открывается;Не влияет;
HV-043;Закрывается;Не влияет;
HV-044;Закрывается;Не влияет;
HV-045;Открывается;Не влияет;
HV-046;Открывается;Не влияет;
HV-052;Открывается;Не влияет;
HV-053;Закрывается;Не влияет;
HV-058;Открывается;Не влияет;
HV-060;Открывается;Не влияет;
HV-061;Закрывается;Не влияет;
HV-062;Закрывается;Не влияет;
HV-080;Открывается;Не влияет;
HV-092;Закрывается;Не влияет;
HV-095;Открывается;Не влияет;
HV-097;Открывается;Не влияет;
HV-098;Открывается;Не влияет;
HV-099;Закрывается;Не влияет;
HV-102;Открывается;Не влияет;
HV-105;Закрывается;Не влияет;
HV-106;Закрывается;Не влияет;
HV-107;Закрывается;Не влияет;
HV-108;Закрывается;Не влияет;
HV-109;Закрывается;Не влияет;
HV-204;Открывается;Не влияет;
HV-205;Открывается;Не влияет;
XV-015;Закрывается;Не влияет;
XV-016;Закрывается;Не влияет;
XV-054;Закрывается;Не влияет;
XV-055;Открывается;Не влияет;
XV-070;Закрывается;Не влияет;
XV-074;Закрывается;Не влияет;
XV-075;Закрывается;Не влияет;
XV-079;Открывается;Не влияет;
XV-088;Закрывается;Не влияет;
XV-103;Закрывается;Не влияет;
XV-104;Закрывается;Не влияет;
XV-904;Открывается;Не влияет;
XV-905;Закрывается;Не влияет;
XV-906;Закрывается;Не влияет;
XV-907;Открывается;Не влияет;
XV-908;Закрывается;Не влияет;
XV-909;Закрывается;Не влияет;
XV-910;Открывается;Не влияет;
XV-911;Закрывается;Не влияет;
XY-875A;Закрывается;Не влияет;
XY-875B;Закрывается;Не влияет;
XY-875C;Закрывается;Не влияет;
XY-875D;Закрывается;Не влияет;
XY-975A;Закрывается;Не влияет;
XY-975B;Закрывается;Не влияет;
XY-975C;Закрывается;Не влияет;
XY-975D;Закрывается;Не влияет;
