Имя;Без воздуха;Без электроэнергии;Диалог;Вход;Выход;Байпас
FV-002;Закрывается;Не влияет;;1;1;1
FV-013;Открывается;Не влияет;;1;1;1
FV-014;Открывается;Не влияет;;1;1;1
FV-015;Открывается;Не влияет;;1;1;1
FV-016;Открывается;Не влияет;;1;1;1
FV-026;Открывается;Не влияет;;1;1;1
FV-027;Открывается;Не влияет;;1;1;1
FV-028;Закрывается;Не влияет;;1;1;1
FV-029;Закрывается;Не влияет;;1;1;1
FV-030;Закрывается;Не влияет;;1;1;1
FV-031;Открывается;Не влияет;;1;1;1
FV-032;Закрывается;Не влияет;;1;1;1
FV-035;Закрывается;Не влияет;;1;1;1
FV-036;Закрывается;Не влияет;;1;1;1
FV-038;Открывается;Не влияет;;1;1;1
FV-040;Закрывается;Не влияет;;1;1;1
FV-042;Закрывается;Не влияет;;1;1;1
FV-046;Закрывается;Не влияет;;0;0;0
FV-071;Закрывается;Не влияет;;1;1;1
FV-750;Открывается;Не влияет;;1;1;1
FV-905A;Не меняется;Не влияет;;0;0;0
FV-905B;Не меняется;Не влияет;;0;0;0
FV091_10;Закрывается;Не влияет;;0;0;0
HV-007;Открывается;Не влияет;;0;0;0
HV-008;Открывается;Не влияет;;0;0;0
HV-009;Открывается;Не влияет;;0;0;0
HV-010;Открывается;Не влияет;;0;0;0
HV-021;Закрывается;Не влияет;;0;0;0
LV-005;Закрывается;Не влияет;;1;1;1
LV-015;Закрывается;Не влияет;;1;1;1
LV-019;Закрывается;Не влияет;;1;1;1
LV-026;Закрывается;Не влияет;;1;1;1
LV-030;Открывается;Не влияет;;1;1;1
LV-037;Закрывается;Не влияет;;1;1;1
LV-050;Закрывается;Не влияет;;1;1;1
LV-053;Закрывается;Не влияет;;1;1;1
PDV-913;Закрывается;Не влияет;;1;1;1
PV-020;Закрывается;Не влияет;;1;1;1
PV-026;Открывается;Не влияет;;0;0;0
PV-055A;Закрывается;Не влияет;;0;0;0
PV-055B;Закрывается;Не влияет;;1;1;1
PV-069A;Закрывается;Не влияет;;0;0;0
PV-069B;Закрывается;Не влияет;;1;1;1
PV-077;Закрывается;Не влияет;;1;1;1
PV-084A;Закрывается;Не влияет;;1;1;1
PV-084B;Закрывается;Не влияет;;0;0;0
PV-087;Закрывается;Не влияет;;1;1;1
PV-099;Открывается;Не влияет;;1;1;1
PV-100A;Закрывается;Не влияет;;1;1;1
PV-100B;Закрывается;Не влияет;;1;1;1
PV-107;Закрывается;Не влияет;;1;1;1
PV-108A;Закрывается;Не влияет;;0;0;0
PV-108B;Закрывается;Не влияет;;1;1;1
PV-850A;Закрывается;Не влияет;;1;1;1
PV-850B;Закрывается;Не влияет;;1;1;1
PV-867/1;Закрывается;Не влияет;;1;1;1
PV-867/2;Закрывается;Не влияет;;1;1;1
PV-906;Не меняется;Не влияет;;0;0;0
PV-910;Закрывается;Не влияет;;1;1;1
PV-916;Закрывается;Не влияет;;0;0;0
PV-952;Закрывается;Не влияет;;0;0;0
TDV-084;Закрывается;Не влияет;;1;1;1
TV-037;Открывается;Не влияет;;1;1;1
TV-045;Закрывается;Не влияет;;1;1;1
TV-105;Закрывается;Не влияет;;1;1;1
TV-121;Закрывается;Не влияет;;1;1;1
TV-125;Закрывается;Не влияет;;1;1;1
TV-925;Закрывается;Не влияет;;1;1;1
TV-930;Не меняется;Не влияет;;0;0;0
XV-900;Открывается;Не влияет;;0;0;0
