Название;Источник/объект;
#Прекращение подачи сырья на установку;;
Прекращение подачи сырья на установку;Атмосферный остаток из хранилища;Прекращение подачи/приема
;Вакуумный остаток;Прекращение подачи/приема
Возобновление подачи сырья на установку;Атмосферный остаток из хранилища;Возобновление подачи/приема
;Вакуумный остаток;Возобновление подачи/приема
;;
#Прекращение подачи воздуха КИП на установку;;
Прекращение подачи воздуха КИП на установку;Воздух КИП;Прекращение подачи/приема
Возобновление подачи воздуха КИП на установку;Воздух КИП;Возобновление подачи/приема
;;
#Прекращение подачи оборотной воды 1 системы на установку;;
Прекращение подачи оборотной воды 1 системы на установку;Оборотная вода прямая 1 системы из сети завода;Прекращение подачи/приема
Возобновление подачи оборотной воды 1 системы на установку;Оборотная вода прямая 1 системы из сети завода;Возобновление подачи/приема
;;
#Прекращение подачи оборотной воды 2 системы на установку;;
Прекращение подачи оборотной воды 2 системы на установку;Оборотная вода прямая 2 системы из сети завода;Прекращение подачи/приема
Возобновление подачи оборотной воды 2 системы на установку;Оборотная вода прямая 2 системы из сети завода;Возобновление подачи/приема
;;
#Прекращение подачи водяного пара среднего давления на установку;;
Прекращение подачи водяного пара среднего давления на установку;Водяной пар СД;Прекращение подачи/приема
Возобновление подачи водяного пара среднего давления на установку;Водяной пар СД;Возобновление подачи/приема
;;
#Прекращение подачи водяного пара низкого давления на установку;;
Прекращение подачи водяного пара среднего давления на установку;Водяной пар НД;Прекращение подачи/приема
Возобновление подачи водяного пара среднего давления на установку;Водяной пар НД;Возобновление подачи/приема
;;
#Разгерметизация фланцевых соединений трубопровода на выкиде насоса P-3001A/S с проливом вакуумного остатка;;
Разгерметизация насоса P-3001A;V-3001_7622;Разгерметизация
Восстановление герметичности P-3001A;V-3001_7622;Восстановление работоспособности
Разгерметизация насоса P-3001S;V-3001_7365;Разгерметизация
Восстановление герметичности P-3001S;V-3001_7365;Восстановление работоспособности
;;
#Прогар змеевика печи H-3001 с проливом продуктов висбрекинга на под печи;;
Прогар змеевика;H-3001;Прогар змеевика
Восстановление;H-3001;Восстановление
;;
#Разгерметизация (разрушение) емкости орошения стабилизатора V-3009 с проливом орошения стабилизатора и выбросом углеводородного газа;;
Разгерметизация V-3009;V-3009_13298;Разгерметизация
;V-3009_13674;Разгерметизация
;V-3009_14450;Разгерметизация
Восстановление герметичности V-3009;V-3009_13298;Восстановление работоспособности
 ;V-3009_13674;Восстановление работоспособности
;V-3009_14450;Восстановление работоспособности
