Имя;Номинальный расход;Номинальный напор;Максимальный напор
C-3001-P1;4.2;;
C-3001-P1S;4.2;;
Р-3001A;269.9;41;50
Р-3001S;269.9;41;50
Р-3003A;524.7;28.7;40
Р-3003S;524.7;28.7;40
Р-3004A;164.8;4.7;10
Р-3004S;164.8;4.7;10
Р-3005A;42.2;21.2;30
Р-3005S;42.2;21.2;30
Р-3006A;72;13.8;20
Р-3006S;72;13.8;20
Р-3007A;16.3;3.13;8
Р-3007S;16.3;3.13;8
Р-3012A;20.2;7.9;12
Р-3012S;20.2;7.9;12
Р-3013A;6.39;5.05;10
Р-3013S;6.39;5.05;10
Р-3017A;22;6.6;10
Р-3017S;22;6.6;10
Р-3020;60;5;10
Р-3021;60;17.38;25
Р-3022A;1;7.15;15
Р-3025;60;17.38;25
Р-3026;60;5;10
