Имя;Объемный расход;Ограничение давления
C-3001A-P1;2.64;
C-3001A-P1S;2.52;
C-3001A-P2;0.00014;
C-3001S-P1;2.64;
C-3001S-P1S;2.52;
C-3001S-P2;0.00014;
P-3024A;0.358;
P-3024B;0.358;
P-3024S;0.358;
Р-3002S1;0.0025;28.5
Р-3002S2;0.0025;28.5
Р-3002S3;0.0025;28.5
Р-3002S4;0.0025;28.5
Р-3002А1;0.0025;28.5
Р-3002А2;0.0025;28.5
Р-3002А3;0.0025;28.5
Р-3002А4;0.0025;28.5
Р-3009AX;0.0278;
Р-3010AX;0.00235;
Р-3027;3.3;
Р-3029A;0.03;
Р-3029S;0.03;
Р-3032A;0.01;
Р-3032S;0.01;
Р-3033A;0.005;
Р-3033S;0.005;
