хЛЪ;PНРЙП
PSV-001;43.9
PSV-002;43.9
PSV-003;43.9
PSV-004;43.9
PSV-005A/S;19.62
PSV-006;26.48
PSV-011A/S;12.7
PSV-012A/S;4.9
PSV-013;29.13
PSV-014;29.13
PSV-017A/S;11.8
PSV-018A/S;11.5
PSV-019A/S;9.6
PSV-020;25.5
PSV-021;25.5
PSV-022A/S;25.5
PSV-023A/S;12.3
PSV-024;9.81
PSV-025A/S;23.04
PSV-026A/S;11.66
PSV-031;9.81
PSV-032;9.81
PSV-035A/S;8.82
PSV-036A/S;13.9
PSV-037A/S;7.15
PSV-039;5.9
PSV-042;23.2
PSV-043;47.1
PSV-044A/S;5.5
PSV-670A/S;3.5
PSV-671A/S;3.5
PSV-672A/S;3.5
PSV-875;6.2
PSV-876;11.8
PSV-877;5
PSV-878;5
PSV-879;5
PSV-881;8
PSV-882;8
PSV-883;9.8
PSV-884;9.8
PSV-885;9.8
PSV-886;9.8
PSV-950;3.9
PSV-951;5.9
PSV-960;5.9
PSV-975;6.2
PSV-976;12
PSV-977;5
PSV-978;5
PSV-979;5
PSV-981;5
PSV-982;5
PSV-996;49
PSV-996A;
PSV-997;49
PSV-998A;34.3
PSV-998B;34.3
PSV-998C;34.3
PSV-998D;34.3
PSV-998E;34.3
PSV-998F;34.3
PSV-998G;34.3
PSV-998H;34.3
TSV-941;15.7
V-3029_3032_3033_оой_1269;
V-3029_3032_3033_оой_1366;
V-3029_3032_3033_оой_225;
V-3029_3032_3033_оой_348;
V-3029_3032_3033_оой_666;
V-3029_3032_3033_оой_783;
