[_PG-131];[МД];
[A-3005];[АВО];[i];[o];[i_motor_1];[i_motor_2];[out_water];[in_water];
[A-3005_E-3018AB_ДР_11291];[Дренаж];[i];
[A-3005_E-3018AB_ДР_11306];[Дренаж];[i];
[A-3005_E-3018AB_ДР_11359];[Дренаж];[i];
[A-3005_E-3018AB_ДР_11418];[Дренаж];[i];
[A-3005_E-3018AB_ДР_11445];[Дренаж];[i];
[A-3005_E-3018AB_ДР_11513];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12481];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12496];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12521];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12553];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12583];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12669];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12684];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12709];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12741];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12771];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12833];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12846];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12932];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12966];[Дренаж];[i];
[A-3005_E-3018AB_ДР_12986];[Дренаж];[i];
[A-3005_E-3018AB_ДР_13063];[Дренаж];[i];
[A-3005_E-3018AB_ДР_13100];[Дренаж];[i];
[A-3005_E-3018AB_ДР_13109];[Дренаж];[i];
[A-3005_E-3018AB_ДР_13146];[Дренаж];[i];
[A-3005_E-3018AB_ДР_13178];[Дренаж];[i];
[A-3005_E-3018AB_ДР_13244];[Дренаж];[i];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11314];[Задвижка_с_заглушкой_НЗ];[o];[i];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11426];[Задвижка_с_заглушкой_НЗ];[o];[i];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11457];[Задвижка_с_заглушкой_НЗ];[i];[o];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_12506];[Задвижка_с_заглушкой_НЗ];[o];[i];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_12562];[Задвижка_с_заглушкой_НЗ];[o];[i];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_12694];[Задвижка_с_заглушкой_НЗ];[i];[o];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_12750];[Задвижка_с_заглушкой_НЗ];[i];[o];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_12939];[Задвижка_с_заглушкой_НЗ];[i];[o];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_13072];[Задвижка_с_заглушкой_НЗ];[o];[i];
[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НО_12976];[Задвижка_с_заглушкой_НО];[o];[i];
[A-3005_E-3018AB_ЗКЛ_11299];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_11333];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_11342];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_11406];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_11410];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_11439];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12491];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12516];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12530];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12547];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12575];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12592];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_12679];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12704];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12718];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_12735];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12763];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_12780];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12820];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_12838];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_12854];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_12871];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_12926];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13033];[Проходной_кран];[o];[i];
[A-3005_E-3018AB_ЗКЛ_13043];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13048];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13056];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13114];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13202];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13214];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13234];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_ЗКЛ_13238];[Проходной_кран];[i];[o];
[A-3005_E-3018AB_Конд_13225];[Конденсатоотводчик];[o];[i];
[A-3005_E-3018AB_ОК_11324];[Обратный_клапан];[i];[o];
[A-3005_E-3018AB_ОК_13134];[Обратный_клапан];[o];[i];
[A-3005_E-3018AB_ОК_13161];[Обратный_клапан];[i];[o];
[A-3005_E-3018AB_ШК_12600];[Шаровой_кран];[o];[i];
[A-3005_E-3018AB_ШК_12788];[Шаровой_кран];[o];[i];
[A-3005_E-3018AB_ШК_13124];[Шаровой_кран];[o];[i];
[A-3005_E-3018AB_ШК_13169];[Шаровой_кран];[i];[o];
[A-3005_E-3018AB_ШК_13185];[Шаровой_кран];[i];[o];
[A-3005_М1];[АВГ];[o_motor];
[A-3005_М2];[АВГ];[o_motor];
[E-3018A];[Теплообменник];[i_shell];[o_tube];[o_shell];[i_tube];
[E-3018B];[Теплообменник];[i_shell];[o_tube];[o_shell];[i_tube];
[F036];[Датчик];[4];[6];
[F049];[Датчик];[9];[10];
[FO-036];[Дроссельная_шайба];[o];[i];
[FV-036];[Клапан в сборке];[i];[o];
[PG-131];[Датчик];[7];[8];
[T076];[Датчик];[1];[2];
[T077];[Датчик];[3];[5];
[XV-055];[Поршень_клапан];[o];[i];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];
[Дренаж в V-3023];[Коллектор];[i_A-3005_E-3018AB_2];[i_A-3005_E-3018AB_4];[i_A-3005_E-3018AB_7];
[Конденсат НД от аппаратов];[Коллектор];[i_A-3005_E-3018AB_8];
[Линия откачки стабилизатора от E-3005 к А-3005];[IO];[o];
[Оборотная вода обратная 1 системы];[Коллектор];[i_A-3005_E-3018AB_6];
[Оборотная вода прямая 1 системы];[Коллектор];[o_A-3005_E-3018AB_5];
[Откачка стабильного бензина после FV-036 к P-3006A/S];[IO];[i];
[Пар НД к аппаратам];[Коллектор];[o_A-3005_E-3018AB_9];
[Стабильная нафта в л.некондиции светлых нефтепродуктов];[IO];[i];
[Стабильная нафта в парк];[IO];[i];
[Стабильная нафта от E-3005 к А-3005];[IO];[o];
[Факельный углеводородный газ];[Коллектор];[i_A-3005_E-3018AB_1];[i_A-3005_E-3018AB_3];
[Факельный углеводородный газ];[Коллектор];
##########;
[A-3005_E-3018AB_11298];[A-3005_E-3018AB_ЗКЛ_11333][o];[A-3005_E-3018AB_ЗКЛ_11342][o];[A-3005_E-3018AB_ДР_11291][i];[A-3005_E-3018AB_ЗКЛ_11299][o];[A-3005][i];[A-3005_E-3018AB_ДР_11359][i];
[A-3005_E-3018AB_11311];[A-3005_E-3018AB_ДР_11306][i];[A-3005_E-3018AB_ЗКЛ_11299][i];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11314][o];
[A-3005_E-3018AB_11329];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11314][i];[A-3005_E-3018AB_ОК_11324][i];
[A-3005_E-3018AB_11331];[A-3005_E-3018AB_ОК_11324][o];[Факельный углеводородный газ][i_A-3005_E-3018AB_1];
[A-3005_E-3018AB_11346];[A-3005_E-3018AB_ЗКЛ_11333][i];[Стабильная нафта от E-3005 к А-3005][o];
[A-3005_E-3018AB_11357];[Линия откачки стабилизатора от E-3005 к А-3005][o];[A-3005_E-3018AB_ДР_11513][i];[A-3005_E-3018AB_ЗКЛ_11342][i];
[A-3005_E-3018AB_11405];[A-3005][o];[A-3005_E-3018AB_ЗКЛ_11410][i];[A-3005_E-3018AB_ЗКЛ_11406][i];[A-3005_E-3018AB_ЗКЛ_11439][i];
[A-3005_E-3018AB_11423];[A-3005_E-3018AB_ЗКЛ_11406][o];[A-3005_E-3018AB_ДР_11418][i];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11426][o];
[A-3005_E-3018AB_11438];[Дренаж в V-3023][i_A-3005_E-3018AB_2];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11426][i];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11457][i];
[A-3005_E-3018AB_11450];[A-3005_E-3018AB_ЗКЛ_11439][o];[A-3005_E-3018AB_ДР_11445][i];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_11457][o];
[A-3005_E-3018AB_11477];[A-3005_E-3018AB_ЗКЛ_11410][o];[T076][1];
[A-3005_E-3018AB_11482];[T076][2];[A-3005_E-3018AB_ЗКЛ_12871][o];[A-3005_E-3018AB_ЗКЛ_12516][i];[A-3005_E-3018AB_ЗКЛ_12704][i];
[A-3005_E-3018AB_12486];[A-3005_E-3018AB_ДР_12481][i];[E-3018A][i_shell];[A-3005_E-3018AB_ЗКЛ_12491][i];[A-3005_E-3018AB_ЗКЛ_12516][o];
[A-3005_E-3018AB_12503];[A-3005_E-3018AB_ДР_12496][i];[A-3005_E-3018AB_ЗКЛ_12491][o];[A-3005_E-3018AB_ЗКЛ ЗАГЛ_НЗ_12506][o];
[A-3005_E-3018AB_12528];[E-3018A][o_tube];[A-3005_E-3018AB_ДР_12521][i];[A-3005_E-3018AB_ЗКЛ_12530][i];
[A-3005_E-3018AB_12537];[A-3005_E-3018AB_ЗКЛ_12530][o];[A-3005_E-3018AB_ШК_12600][o];[A-3005_E-3018AB_ЗКЛ_12718][o];[A-3005_E-3018AB_ШК_12788][o];[A-3005_E-3018AB_ЗКЛ_12838][o];
