[_FG-775D];[МД];
[_FG-775E];[МД];
[_FG-775С];[МД];
[_PG-775A];[МД];
[_PG-775B];[МД];
[_PG-775D];[МД];
[_PG-775E];[МД];
[_PG-775F];[МД];
[_PG-775G];[МД];
[_PG-775H];[МД];
[_PG-775J];[МД];
[_TG-775A];[МД];
[_TG-775B];[МД];
[C-3001A_Атм_12227];[Атмосфера];[i];
[C-3001A_ДР_11293];[Дренаж];[i];
[C-3001A_ДР_11333];[Дренаж];[i];
[C-3001A_ДР_11674];[Дренаж];[i];
[C-3001A_ДР_11680];[Дренаж];[i];
[C-3001A_ДР_11969];[Дренаж];[i];
[C-3001A_ДР_12043];[Дренаж];[i];
[C-3001A_ДР_12049];[Дренаж];[i];
[C-3001A_ДР_12736];[Дренаж];[i];
[C-3001A_ДР_12795];[Дренаж];[i];
[C-3001A_ДР_13075];[Дренаж];[i];
[C-3001A_ДР_13100];[Дренаж];[i];
[C-3001A_ЗАГЛ_11646];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_11652];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_11939];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_11946];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_11952];[Заглушка];[o];[i];
[C-3001A_ЗАГЛ_12135];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_12141];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_12147];[Заглушка];[o];[i];
[C-3001A_ЗАГЛ_13049];[Заглушка];[i];[o];
[C-3001A_ЗАГЛ_НО_12220];[Заглушка_НО];[i];[o];
[C-3001A_ЗКЛ_12254];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_12337];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_12433];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_12650];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_12657];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_12679];[Проходной_кран];[o];[i];
[C-3001A_ЗКЛ_12954];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_12959];[Проходной_кран];[o];[i];
[C-3001A_ЗКЛ_13034];[Проходной_кран];[o];[i];
[C-3001A_ЗКЛ_13041];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_13045];[Проходной_кран];[o];[i];
[C-3001A_ЗКЛ_13068];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_13081];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_13086];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_13106];[Проходной_кран];[o];[i];
[C-3001A_ЗКЛ_13111];[Проходной_кран];[o];[i];
[C-3001A_ЗКЛ_13117];[Проходной_кран];[i];[o];
[C-3001A_ЗКЛ_ЗАГЛ_НЗ_11301];[Задвижка_с_заглушкой_НЗ];[i];[o];
[C-3001A_ЗКЛ_ЗАГЛ_НЗ_11414];[Задвижка_с_заглушкой_НЗ];[i];[o];
[C-3001A_ЗКЛ_ЗАГЛ_НЗ_12751];[Задвижка_с_заглушкой_НЗ];[o];[i];
[C-3001A_ОК_11300];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12212];[Обратный_клапан];[i];[o];
[C-3001A_ОК_12290];[Обратный_клапан];[i];[o];
[C-3001A_ОК_12381];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12478];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12544];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12553];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12564];[Обратный_клапан];[i];[o];
[C-3001A_ОК_12570];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12604];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12609];[Обратный_клапан];[o];[i];
[C-3001A_ОК_12616];[Обратный_клапан];[o];[i];
[C-3001A_ОК_13129];[Обратный_клапан];[o];[i];
[C-3001A_ОК_13141];[Обратный_клапан];[i];[o];
[C-3001A_Ф_12245];[Фильтр_сетчатый];[o];[i];
[C-3001A_ШК_11340];[Шаровой_кран];[o];[i];
[C-3001A_ШК_11433];[Шаровой_кран];[i];[o];
[C-3001A-МС];[Охлаждение];[i_motor];
[FG-775D];[Датчик];[31];[47];
[FG-775E];[Датчик];[25];[45];
[FG-775С];[Датчик];[30];[46];
[HV-041];[Поршень_клапан];[o];[i];
[HV-043];[Поршень_клапан];[i];[o];
[HV-045];[Поршень_клапан];[o];[i];
[LP_30_926];[Вызов_пульта];
[P064];[Датчик];[5];[6];
[P066];[Датчик];[7];[8];
[P777A];[Датчик];[32];[34];
[P777B];[Датчик];[36];[38];
[P777C];[Датчик];[28];[29];
[P787];[Датчик];[21];[22];
[PCV-776B];[Редуктор];[o];[i];
[PCV-776D];[Редуктор];[i];[o];
[PCV-776E];[Редуктор];[o];[i];
[PCV-776F];[Редуктор];[i];[o];
[PCV-776С];[Редуктор];[o];[i];
[PG-775A];[Датчик];[10];[11];
[PG-775B];[Датчик];[13];[16];
[PG-775D];[Датчик];[33];[35];
[PG-775E];[Датчик];[37];[39];
[PG-775F];[Датчик];[23];[43];
[PG-775G];[Датчик];[26];[27];
[PG-775H];[Датчик];[19];[20];
[PG-775J];[Датчик];[41];[42];
[PSV-875];[Предохранительный_клапан];[i];[o];
[PSV-876];[Предохранительный_клапан];[i];[o];
[PSV-877];[Предохранительный_клапан];[i];[o];
[PSV-878];[Предохранительный_клапан];[i];[o];
[PSV-879];[Предохранительный_клапан];[i];[o];
[T058];[Датчик];[4];[18];
[T152];[Датчик];[1];[3];
[T776A];[Датчик];[24];[49];
[T776B];[Датчик];[40];[50];
[T776C_E];[Датчик];[12];[44];
[T776D_F];[Датчик];[14];[48];
[TG-775A];[Датчик];[2];[9];
[TG-775B];[Датчик];[15];[17];
[Азот];[Коллектор];
[Азот];[Коллектор];[o_C-3001A_1];[o_C-3001A_3];
[Азот к С-3001A];[IO];[o];
[Возвратный поток от компрессора C-3001S];[IO];[o];
[Возвратный поток от компрессоров С-3001A/S в A-3001];[IO];[i];
[Возвратный поток от компрессоров С-3001A/S в A-3003];[IO];[i];
[Дренаж в V-3028];[Коллектор];[i_C-3001A_5];
[Изм_С-3001A];[Измеритель];[i_motor];
[Кислый газ к компрессорам С-3001A/S от V-3005];[IO];[o];
[Кислый газ к компрессору С-3001S от V-3005];[IO];[i];
[М_C-3001A];[Мотор];[o_motor];
[С-3001 A-V5];[Емкость];[top_1];[top_2];[bot_1];
[С-3001 A-V6];[Емкость];[top_1];[bot_1];[top_2];
[Сдувка инертного газа от ППК С-3001A];[IO];[i];
[Уплотн_С-3001А_1];[Универсал];[i];[o];
[Уплотн_С-3001А_2];[Универсал];[i];[o];
[Факельный углеводородный газ];[Коллектор];[i_C-3001A_2];[i_C-3001A_4];[i_C-3001A_6];[i_C-3001A_7];
[Факельный углеводородный газ];[Коллектор];
[Факельный углеводородный газ];[Коллектор];
[Факельный углеводородный газ];[Коллектор];
[Ц-1-С-3001A];[Поршневой_компрессор];[i];[o];[i_motor];
[Ц-2-С-3001A];[Поршневой_компрессор];[o];[i_motor];[i];
##########;
[C-3001A_11286];[T152][1];[PSV-875][i];[TG-775A][2];
[C-3001A_11289];[T152][3];[C-3001A_ЗКЛ_ЗАГЛ_НЗ_11301][i];[HV-041][o];
[C-3001A_11298];[C-3001A_ДР_11293][i];[C-3001A_ЗКЛ_ЗАГЛ_НЗ_11301][o];[C-3001A_ОК_11300][o];
[C-3001A_11322];[Азот][o_C-3001A_1];[C-3001A_ЗКЛ_13068][i];
[C-3001A_11338];[C-3001A_ДР_11333][i];[C-3001A_ШК_11340][o];[HV-041][i];
[C-3001A_11347];[C-3001A_ШК_11340][i];[Кислый газ к компрессорам С-3001A/S от V-3005][o];[Кислый газ к компрессору С-3001S от V-3005][i];
[C-3001A_11369];[PSV-875][o];[Факельный углеводородный газ][i_C-3001A_2];
[C-3001A_11406];[T058][4];[P064][5];
[C-3001A_11409];[P064][6];[P066][7];
[C-3001A_11412];[P066][8];[C-3001A_ЗКЛ_ЗАГЛ_НЗ_11414][i];[C-3001A_ЗАГЛ_НО_12220][i];[C-3001A_ЗКЛ_13045][o];
[C-3001A_11425];[C-3001A_ЗКЛ_ЗАГЛ_НЗ_11414][o];[C-3001A_Атм_12227][i];
[C-3001A_11437];[HV-045][o];[C-3001A_ШК_11433][i];
[C-3001A_11440];[C-3001A_ШК_11433][o];[Возвратный поток от компрессора C-3001S][o];[Возвратный поток от компрессоров С-3001A/S в A-3003][i];[Возвратный поток от компрессоров С-3001A/S в A-3001][i];
[C-3001A_11642];[TG-775A][9];[PG-775A][10];
[C-3001A_11645];[PG-775A][11];[C-3001A_ЗАГЛ_11652][i];[C-3001A_ЗАГЛ_11646][i];
[C-3001A_11663];[C-3001A_ЗАГЛ_11652][o];[C-3001A_ДР_11680][i];[C-3001A_ЗАГЛ_11939][i];[C-3001A_ДР_11674][i];
[C-3001A_11945];[Ц-1-С-3001A][i];[C-3001A_ОК_13141][i];[C-3001A_ЗАГЛ_11939][o];
[C-3001A_11951];[Ц-1-С-3001A][o];[C-3001A_ЗАГЛ_11946][i];[C-3001A_ОК_13141][o];
[C-3001A_11967];[T776C_E][12];[C-3001A_ЗАГЛ_11946][o];[C-3001A_ДР_11969][i];
[C-3001A_11992];[C-3001A_ЗАГЛ_11952][o];[C-3001A_ЗАГЛ_12147][o];[PG-775B][13];
[C-3001A_12042];[C-3001A_ДР_12049][i];[C-3001A_ЗАГЛ_11646][o];[C-3001A_ДР_12043][i];[C-3001A_ЗАГЛ_12135][i];
