WATER;3.1453906990451039e-006;100
NITROGEN;4.6467883425482393e-005;-196
HYDROGEN SULFIDE;2.5299970349058976e-001;-60
METHANE;5.2725813251378378e-003;-161
ETHANE;7.1980880610531942e-002;-89
ETHYLENE;2.9290704598990674e-002;-104
PROPANE;1.6652456782715616e-001;-42
PROPYLENE;8.2074086937597657e-002;-48
ISOBUTENE;9.4206576211215601e-002;-7
1-BUTENE;6.6717410886794771e-003;-6
n-BUTANE;1.3841025110400162e-001;-1
ISOBUTANE;3.2780046500790791e-002;-12
ISOPENTANE;4.2804784738702702e-002;28
n-PENTANE;3.6827833061817611e-002;36
1-PENTENE;2.3435716230351619e-002;30
2-methylbutene;9.9846819375287391e-003;33
CYCLOPENTANE;1.2701852067905754e-003;49
2-METHYLPENTANE;4.3027000161323693e-003;60
n-HEXANE;8.8131271642976955e-004;69
BENZENE;3.7874175357610076e-005;80
CYCLOHEXANE;1.0575368566612228e-004;81
TOLUENE;3.3140649867715083e-007;111
METHYLCYCLOHEXANE;1.2791869067334129e-005;101
n-HEPTANE;1.3702044988286368e-005;98
2-METHYLHEXANE;6.0809820298515522e-005;90
n-OCTANE;1.1092537024349013e-007;126
2-METHYLHEPTANE;4.1953603749713606e-007;118
1,4-dimethylcyclohexane;2.1671836819881402e-007;121
o-XYLENE;1.8436445558050779e-009;144
m-XYLENE;1.4513577228447484e-009;139
p-XYLENE;2.5636127890991352e-009;138
n-NONANE;1.0350654567576928e-009;151
2,6-DIMETHYLHEPTANE;1.3576116498330822e-008;135
1,2,4-trimethylcyclohexane;2.0687793507100681e-009;143
Tb 160;3.6903257811186025e-010;160
Tb 170;3.3820017089866197e-011;170
Tb 180;3.4851419954469902e-013;180
Tb 190;9.6181354404846779e-016;190
Tb 200;2.1396090949491255e-018;200
Tb 210;4.2929503706031687e-023;210
Tb 220;1.1289764679786151e-023;220
Tb 230;6.4554732744890514e-024;230
Tb 240;1.2530943737334168e-024;240
Tb 250;1.2138154122908676e-029;250
Tb 260;2.8115176990644843e-030;260
Tb 270;2.1415968719473797e-031;270
Tb 280;1.4627339231817401e-032;280
Tb 290;1.1218387135542314e-033;290
Tb 300;1.0754221190481345e-034;300
Tb 310;1.5459982711611957e-035;310
Tb 320;4.2514070226558247e-036;320
Tb 330;1.1683484008697701e-036;330
Tb 340;2.1348056465593775e-037;340
Tb 350;5.1724418824541426e-038;350
Tb 360;3.5891415741486987e-041;360
DIETHANOLAMINE;2.6690249004036731e-037;269
