NITROGEN;0.0000000000000000e+000;-196
ISOPENTANE;6.7830264800279524e-002;28
n-PENTANE;3.2610704230903613e-002;36
1-PENTENE;9.9033871218704217e-002;30
2-methylbutene;7.2518827026151686e-002;33
CYCLOPENTANE;6.9987961428340351e-002;49
2-METHYLPENTANE;9.9435447020764678e-002;60
n-HEXANE;6.2357341710236831e-002;69
BENZENE;1.0191780787995073e-002;80
CYCLOHEXANE;6.8580700249063334e-002;81
TOLUENE;9.8282813704641259e-003;111
METHYLCYCLOHEXANE;1.2162094439647900e-002;101
n-HEPTANE;1.1520167903445662e-001;98
2-METHYLHEXANE;7.1007931473824573e-002;90
n-OCTANE;2.1343639848942192e-002;126
2-METHYLHEPTANE;2.1604990540970054e-002;118
1,4-dimethylcyclohexane;3.3255726306010015e-002;121
o-XYLENE;3.0932108535252222e-003;144
m-XYLENE;3.0932108535252222e-003;139
p-XYLENE;3.0932108535252222e-003;138
n-NONANE;2.9483966058012741e-002;151
2,6-DIMETHYLHEPTANE;3.2199594510724440e-002;135
1,2,4-trimethylcyclohexane;1.8130529304609903e-002;143
Tb 160;3.2486117031090923e-002;160
Tb 170;1.0820479431431192e-002;170
Tb 180;6.2134599954841521e-004;180
Tb 190;2.6460184135890679e-005;190
Tb 200;6.3343311587775631e-007;200
