NITROGEN;0.0000000000000000e+000;-196
HYDROGEN SULFIDE;1.4648698337314393e-003;-60
METHANE;2.4130431812079226e-004;-161
ETHANE;2.5748175731421866e-004;-89
ETHYLENE;2.7598421211555250e-004;-104
PROPANE;2.6336729483097401e-004;-42
PROPYLENE;2.7598421867415334e-004;-48
ISOBUTENE;2.7598421703450311e-004;-7
1-BUTENE;2.7598421703450311e-004;-6
n-BUTANE;2.6641211998002597e-004;-1
ISOBUTANE;2.6641211998002597e-004;-12
ISOPENTANE;2.6827304469466824e-004;28
n-PENTANE;2.6827304469466824e-004;36
1-PENTENE;2.7598422785619502e-004;30
2-methylbutene;2.7598422785619502e-004;33
CYCLOPENTANE;2.7598422785619502e-004;49
2-METHYLPENTANE;1.0329458975456948e-002;60
n-HEXANE;1.3742671506477511e-002;69
BENZENE;9.4783111840728365e-003;80
CYCLOHEXANE;1.0576882107693608e-002;81
TOLUENE;8.0185902815953034e-003;111
METHYLCYCLOHEXANE;1.0752944328814755e-002;101
n-HEPTANE;1.0552064097445893e-002;98
2-METHYLHEXANE;1.0552064097445893e-002;90
n-OCTANE;8.5346648852911485e-003;126
2-METHYLHEPTANE;8.5482173503729914e-003;118
1,4-dimethylcyclohexane;8.6603967475096955e-003;121
o-XYLENE;3.0621804362703981e-003;144
m-XYLENE;3.0621804362703981e-003;139
p-XYLENE;3.0621804362703981e-003;138
n-NONANE;5.7243416058121192e-003;151
2,6-DIMETHYLHEPTANE;5.7243416058121192e-003;135
1,2,4-trimethylcyclohexane;5.7850944422499365e-003;143
Tb 160;2.5189414832023617e-002;160
Tb 170;1.3550592385615942e-002;170
Tb 180;1.2931037802541926e-002;180
Tb 190;1.2264050458527395e-002;190
Tb 200;1.1669709773581094e-002;200
Tb 210;1.1102884181136433e-002;210
Tb 220;1.0566218929211075e-002;220
Tb 230;1.7998888846671179e-002;230
Tb 240;1.2216791706360416e-002;240
Tb 250;1.0812016943319932e-002;250
Tb 260;2.5396076114644037e-002;260
Tb 270;1.9349352453376410e-002;270
Tb 280;1.3204329692063813e-002;280
Tb 290;1.2780021128190405e-002;290
Tb 300;1.0882444193229951e-002;300
Tb 310;1.0349037926639229e-002;310
Tb 320;1.4624094514259337e-002;320
Tb 330;2.7114262098590306e-002;330
Tb 340;2.3092883194715860e-002;340
Tb 350;2.0003568930463528e-002;350
Tb 360;1.1137108671794045e-002;360
Tb 370;1.3860756541512047e-002;370
Tb 380;1.4294190718869101e-002;380
Tb 390;1.4489155042516329e-002;390
Tb 400;1.8471865791132521e-002;400
Tb 410;1.6998453534119308e-002;410
Tb 420;9.2120544376637289e-003;420
Tb 430;1.0942743837433948e-002;430
Tb 440;1.1924475271650022e-002;440
Tb 450;1.2154168096287945e-002;450
Tb 460;1.3824304126842483e-002;460
Tb 470;1.3362232028681881e-002;470
Tb 480;1.2547545235403504e-002;480
Tb 490;1.4018349346365779e-002;490
Tb 500;2.0494632060037966e-002;500
Tb 510;1.2483440825980675e-002;510
Tb 520;1.3328970066325765e-002;520
Tb 530;1.2434723550175865e-002;530
Tb 540;1.3123811225084879e-002;540
Tb 550;4.9815013843583222e-002;550
Tb 560;9.5260588844323396e-002;560
Tb 570;1.3932887319241763e-001;570
