HYDROGEN;1.8449295873480077e-002;-253
NITROGEN;5.9074061195538217e-004;-196
METHANE;3.7254959414297861e-001;-161
ETHANE;2.7310977817907833e-001;-89
PROPANE;1.1842584397090995e-001;-42
n-BUTANE;5.7258825100843007e-002;-1
ISOBUTANE;5.6357894356784913e-002;-12
ISOPENTANE;2.7278374372763762e-002;28
n-PENTANE;2.6871902355452584e-002;36
2-METHYLPENTANE;1.5248059438218772e-002;60
n-HEXANE;1.9022316120336290e-002;69
n-HEPTANE;8.4217977392154995e-003;98
2-METHYLHEXANE;6.4155777379827795e-003;90
