MODEL;;PROJECT;DLL;ID(crd);Описание
IO;;PROJECT;IO;17;Источник-потребитель
Pipe;;PROJECT;Pipe;113;Трубопровод
Driver;;PROJECT;Driver;113;Вал
REG;;PROJECT;PID;222;Управление клапаном-регулятором
Temp;;PROJECT;Temp;113;TEMP
Test;;PROJECT;Temp;113;Test
АВГ;;PROJECT;Motor;16;Двигатель АВО
АВО;;PROJECT;AVO;113;Аппарат воздушного охлаждения
Атмосфера;;PROJECT;IO;113;Атмосфера
Вакуумный_клапан;;PROJECT;PPK;120;Вакуумный_клапан
Воздуходувка;;PROJECT;Fan;16;Воздуходувка
Датчик;;PROJECT;Sens_b;60;Датчик
Дисковый_затвор;;PROJECT;Valve_M_b;13;Дисковый_затвор
Дренаж;;PROJECT;Drainage;79;Дренаж
Дроссельная_шайба;;PROJECT;UniModel;113;Дроссельная_шайба
Емкость;;PROJECT;Vol_b;113;Емкость
Емкость_двухфазная;2PH;PROJECT;Vol_b;113;Двухфазная (УВ/вода) емкость
Емкость_напорная;FORCE;PROJECT;Vol_b;113;Емкость
Заглушка;;PROJECT;Gag;67;Заглушка
Заглушка_НЗ;;PROJECT;Gag;67;Заглушка_НЗ
Заглушка_НО;;PROJECT;Gag;67;Заглушка_НО
Задвижка;;PROJECT;Valve_M_b;13;Ручная задвижка
Задвижка_с_заглушкой_НЗ;VEPC;PROJECT;Valve_M_b;90;Задвижка_с_заглушкой_НЗ
Задвижка_с_заглушкой_НО;VEPO;PROJECT;Valve_M_b;90;Задвижка_с_заглушкой_НО
Игольчатый_клапан;;PROJECT;Valve_M_b;13;Игольчатый_клапан
Измеритель;;PROJECT;MultiSens;113;Универсальный измеритель вибрации, сдвига
Канализация;;PROJECT;IO;113;Канализация
Клапан;;PROJECT;Valve_A_b;12;Клапан
Клапан в сборке;CVFA;PROJECT;Valve_A_b;113;Клапан в сборке
Клапан_НЗ;CV;PROJECT;Valve_A_b;12;Клапан_НЗ
Клапан_НО;CV;PROJECT;Valve_A_b;12;Клапан_НО
Клиновая_задвижка;;PROJECT;Valve_M_b;13;Клиновая_задвижка
Коллектор;;PROJECT;Collector;113;Коллектор
Колонна;;PROJECT;Column;113;Ректификационная колонна
Компрессор;;PROJECT;CC_1;16;Компрессор центробежный
Конденсатоотводчик;;PROJECT;UniModel;113;Конденсатоотводчик
Логика;;PROJECT;BlkPipe;113;Связи в логических схемах
МД;;PROJECT;LS;113;Местный датчик
Мембранный_клапан;;PROJECT;Valve_M_b;13;Мембранный_клапан
Мотор;;PROJECT;Motor;16;Двигатель
Насос_винтовой;PDP;PROJECT;Pump_b;15;Насос_винтовой
Насос_поршневой;PDP;PROJECT;Pump_b;15;Насос_поршневой
Насос_с_задв;;PROJECT;Pump_b;15;Насос_центробежный
Насос_цб;;PROJECT;Pump_b;15;Насос_центробежный
Насос_центробежный;;PROJECT;Pump_b;15;Насос_центробежный
Насос_шестеренчатый;PDP;PROJECT;Pump_b;15;Насос_шестеренчатый
Обратный_клапан;;PROJECT;Valve_R_b;113;Обратный_клапан
Обратный_клапан_2;;PROJECT;Valve_R_b;113;Обратный_клапан
Осушка;;PROJECT;AirDry;113;Осушка
Отсекатель;IV;PROJECT;Valve_A_b;12;Отсекатель
Отсекатель_НЗ;IV;PROJECT;Valve_A_b;12;Отсекатель_НЗ
Отсекатель_НО;IV;PROJECT;Valve_A_b;12;Отсекатель_НО
Охлаждение;;PROJECT;CoolObj;113;Охлаждение насосов/компрессоров
Печь;kF=2;PROJECT;Furnace;113;Радиантная зона печи
Печь_2;kF=1;PROJECT;FurnaceEx;113;Радиантная зона печи
Помещение;;PROJECT;Room;113;Место размещение оборудования(при расчете загазованности)
Поршень_затвор;IV;PROJECT;Valve_A_b;12;Поршень_затвор
Поршень_клапан;IV;PROJECT;Valve_A_b;12;Поршень_клапан
Поршневой_компрессор;;PROJECT;PC_1;16;Поршневой компрессор
ППК;;PROJECT;PPK;120;Предохранительный_клапан
ППК_2х;;PROJECT;PPK;120;ППК_2х
Предохранительный_клапан;;PROJECT;PPK;120;Предохранительный_клапан
Пробковый_кран;GV;PROJECT;Valve_M_b;13;Ручная задвижка
Проходной_кран;;PROJECT;Valve_M_b;13;Ручная задвижка
Пульты;;PROJECT;PULT;113;Двусторонняя связь пультов и объектов
Разрывная_мембрана;;PROJECT;PPK;120;Разрывная_мембрана
Разрывная_мембрана_вакуумная;;PROJECT;PPK;120;Разрывная_мембрана_вакуумная
Регулирующий_затвор;;PROJECT;Valve_A_b;12;Регулирующий_затвор
Регулирующий_клапан;;PROJECT;Valve_A_b;12;Регулирующий_клапан
Регулирующий_клапан_НЗ;CV;PROJECT;Valve_A_b;12;Регулирующий_клапан_НЗ
Регулирующий_клапан_НО;CV;PROJECT;Valve_A_b;12;Регулирующий_клапан_НО
Регулирующий_трехходовой_клапан;;PROJECT;Klap3x;113;Регулирующий_трехходовой_клапан
Редуктор;;PROJECT;Reductor;131;Редуктор
Сепаратор;;PROJECT;SepLiq_b;113;2-х фазный сепаратор с подогревом
Соленоидный_трехходовой_кран;;PROJECT;Klap3x;113;Соленоидный_трехходовой_кран
Теплообменник;;PROJECT;HeatChange_b;113;Теплообменник
Трехходовой_кран;;PROJECT;Klap3x;113;Трехходовой_кран
Угловой_кран;BV;PROJECT;Valve_M_b;13;Угловой_кран
Универсал;;PROJECT;UniModel;113;Универсальная модель
Уровень;;PROJECT;Level;59;Уровнемерная колонка
Факел;;PROJECT;Fakel;113;Факел
Фильтр;;PROJECT;UniModel;113;Фильтр
Фильтр_корзинчатый;;PROJECT;UniModel;113;Фильтр_корзинчатый
Фильтр_сетчатый;;PROJECT;UniModel;113;Фильтр_сетчатый
Шаровой_кран;BV;PROJECT;Valve_M_b;83;Шаровой_кран
Шланговая_задвижка;;PROJECT;Valve_M_b;13;Шланговая_задвижка
Теплообменник1;;PROJECT;HeatAntiFlow;113;Противоточный теплообменник
Э_задвижка;EV;PROJECT;Valve_A_b;12;Э_задвижка
Эжектор;;PROJECT;Ejector;113;Эжектор
Эл_дисковый_затвор;EV;PROJECT;Valve_A_b;12;Эл_дисковый_затвор
Эл_задвижка_клиновая;EV;PROJECT;Valve_A_b;12;Эл_задвижка_клиновая
Эл_пробковый_кран;EV;PROJECT;Valve_A_b;12;Эл_пробковый_кран
Эл_трехходовая_задвижка;;PROJECT;Klap3x;113;Эл_трехходовая_задвижка
Эл_шаровой_кран;EV;PROJECT;Valve_A_b;12;Эл_шаровой_кран
Электрозатвор;EV;PROJECT;Valve_A_b;12;Электрозатвор
Электронагреватель;;PROJECT;ElectricHeater_b;113;Электронагреватель
Электрооборудование;;PROJECT;Electro;113;Щит подключения электрооборудования
Печь_4_горелки;kF=4;PROJECT;FurnaceEx;113;Радиантная зона печи
Сокинг-камера;;PROJECT;VBR;113;Сокинг-камера
Термостат;;PROJECT;Thermostatic_Valve_3;113;Термостат
Аминовый абсорбер;Абсорбер;PROJECT;Column_NE;113;Аминовый абсорбер
