Мастер;ID
Diafragma;47
EXIT;113
Level;45
Manometr;46
REG;222
Sensor;60
АВГ;16
Анализатор;89
Воздуходувка;16
Вызов_пульта;119
Датчик;60
Датчик_по_месту;5
Дисковый_затвор;13
Дренаж;79
Заглушка;67
Заглушка_НЗ;67
Заглушка_НО;67
Задвижка;13
Задвижка_с_заглушкой_НЗ;90
Задвижка_с_заглушкой_НО;90
Игольчатый_клапан;13
Клап;113
Клапан;12
Клапан_НЗ;12
Клапан_НО;12
Клиновая_задвижка;13
Компрессор;15
Мембранный_клапан;13
Мотор;15
Насос;15
Насос_винтовой;15
Насос_поршневой;15
Насос_с_задв;15
Насос_цб;15
Насос_центробежный;15
Насос_шестеренчатый;15
Отсекатель;12
Отсекатель_НЗ;12
Отсекатель_НО;12
Переход;17
Переход2;17
Пневматический_угловой_кран;12
Поршень_затвор;12
Поршень_клапан;12
Поршневой_компрессор;15
ППК_2х;120
Пробковый_кран;13
Проходной_кран;13
Регулирующий_затвор;12
Регулирующий_клапан;12
Регулирующий_клапан_НЗ;12
Регулирующий_клапан_НО;12
Регулирующий_трехходовой_клапан;113
Регулирующий_угловой_кран;12
Седельчатый_клапан;13
Соленоидный_клапан;12
Соленоидный_мембранный_клапан;12
Соленоидный_трехходовой_кран;113
Соленоидный_шаровой_кран;12
Трехходовой_кран;80
Угловой_кран;13
Уровень;59
Шаровой_кран;83
Шланговая_задвижка;13
Э_задвижка;12
Эл_дисковый_затвор;12
Эл_задвижка_клиновая;12
Эл_пробковый_кран;12
Эл_трехходовая_задвижка;113
Эл_шаровой_кран;12
Электрозатвор;12
