PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16;ComAllocationType17;Master17;Slave17;PLCAddress17;ComAllocationType18;Master18;Slave18;PLCAddress18;ComAllocationType19;Master19;Slave19;PLCAddress19;ComAllocationType20;Master20;Slave20;PLCAddress20;ComAllocationType21;Master21;Slave21;PLCAddress21;ComAllocationType22;Master22;Slave22;PLCAddress22;ComAllocationType23;Master23;Slave23;PLCAddress23;ComAllocationType24;Master24;Slave24;PLCAddress24;ComAllocationType25;Master25;Slave25;PLCAddress25;ComAllocationType26;Master26;Slave26;PLCAddress26;ComAllocationType27;Master27;Slave27;PLCAddress27;ComAllocationType28;Master28;Slave28;PLCAddress28
DO;20HS990H_EN;;FSC;2000;A_2000;ESD MOS EN AREA CH-20-3;No;ЛОЖЬ;ЛОЖЬ;;65;;;;;;;0;;;;688;ЛОЖЬ;0;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_1;ESD_001_2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL212B_ON;;FSC;2000;A_2000;P-2013/S EMERG. SD;No;ЛОЖЬ;ЛОЖЬ;;256;;;;;;;0;;;;2154;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_7;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41XL770_ON;;FSC;4100;H-4101AB;OO FOR 41XV113;No;ЛОЖЬ;ЛОЖЬ;;283;;;;;;;0;;;;1866;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_411_1;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL990JB;;PNL;2000;A_2000;MOS ACT/REL AREA CH-20-4;Yes;ЛОЖЬ;ЛОЖЬ;;67;;;;;;;0;;;;203;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.06;9;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;30HS704B;;PNL;3000;A_3000;MOS RELEASE AREA C-3001A;Yes;ЛОЖЬ;ЛОЖЬ;;39;;;;;;;;;;;45;ЛОЖЬ;0;None;;;;;;0=RELEASE;;;;;;;Undefined;491;3428;;01.03;5;6;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;52HS926_EN;;FSC;5200;A_5200;ESD MOS EN AREA 430-16;No;ЛОЖЬ;ЛОЖЬ;;113;;;;;;;0;;;;809;ЛОЖЬ;0;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_1;ESD_001_4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;30XL120;;PNL;3000;A_3000;GROUP SD AT FIRE - N. 03;Yes;ЛОЖЬ;ЛОЖЬ;;208;;;;;;;0;;;;34;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.05;5;11;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XL201AB;;PNL;5800;A_5800;MOS ACT/REL AREA 5800;Yes;ЛОЖЬ;ЛОЖЬ;;83;;;;;;;0;;;;255;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.06;15;8;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;30XL0103B;;PNL;3000;A_3000;30XV103 OPEN;Yes;ЛОЖЬ;ЛОЖЬ;;206;;;;;;;0;;;;47;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.05;5;8;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;30XL030B_ON;;FSC;3000;A_3000;CLS XV030,096/ P-3005A/S;No;ЛОЖЬ;ЛОЖЬ;;206;;;;;;;0;;;;2332;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_301_1;12;;;;;;;;;;;;;;;;;;;;
