PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15
T;396_1;;;2000;H-2001;;;ЛОЖЬ;ИСТИНА;;396;;;;;;;;1 min;30;;24;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21BI119_TF;;COM;2100;A_2000;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;272;;;;;;;0;;;;1068;ЛОЖЬ;0;None;;;;;;0=FAIL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TI255B2_TF;;COM;2200;A_P20_1;PUMP THRUST BEAR TEMP;No;ЛОЖЬ;ЛОЖЬ;;748;;;;;;;0;;;;4297;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;1762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;324_434_1;;;2000;;21BALL171CA;;ЛОЖЬ;ЛОЖЬ;;434;;;;;;;0;;;;616;ЛОЖЬ;0;;;;;;;1=FLAME ON;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C524_3_F;;;2200;2200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;524;;;;;;;0;;;;3500;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;666_1340_3;;;2200;P-2051;20HS733;;ЛОЖЬ;ЛОЖЬ;;1340;;;;;;;0;;;;612;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;610_151_3;;;2200;P-2005S;22VSHH086XY_MO;;ЛОЖЬ;ЛОЖЬ;;151;;;;;;;0;;;;4077;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;324_8;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;324;;;;;;;0;;;;4738;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;771_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;771;;;;;;;0;;;;1323;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;514_5;;;2200;P-2005;;;ЛОЖЬ;ЛОЖЬ;;514;;;;;;;;100 ms;5;;1724;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
