FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
679;ESD_001_5_FLD0679;I-149 INPUT SIGNAL (22TT117A);2200;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
21;ESD_001_5_FLD0021;PCDI CONTROL;;;ЛОЖЬ;;Program block;ESD_001_5;;;05.05.2010;;;Sysdtlsmflda;Sysdtlsmflda_fp;
174;ESD_001_5_FLD0174;MOS AREA H-2002;2200;;ЛОЖЬ;;Program block;ESD_001_5;;;11.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
708;ESD_001_5_FLD0708;I-178 INPUT SIGNAL (22TT347A);2200;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
246;ESD_001_5_FLD0246;I-311 INPUT SIGNALS (21PT111B);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;10.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
589;ESD_001_5_FLD0589;I-606 INPUT SIGN. (22TT101F);2200;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;01.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
324;ESD_001_5_FLD0324;I-311 INPUT SIGNALS (21BE171);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
556;ESD_001_5_FLD0556;I-605 INPUT SIGNAL (22SSLL023);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;23.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
200;ESD_001_5_FLD0200;I-318 INHIBIT;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;05.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2462;ESD_001_5_FLD2462;SOV & MOV;;;ЛОЖЬ;;Function block;ESD_001_5;;;27.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
80;ESD_001_5_FLD0080;MOS 2oo3;;;ЛОЖЬ;;Program block;ESD_001_5;;;17.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
401;ESD_001_5_FLD0401;OOS 21XV108, 21XV109, 21XV110;;;ЛОЖЬ;;Program block;ESD_001_5;;;08.08.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
254;ESD_001_5_FLD0254;I-311 INPUT SIGNALS (21BE101);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
600;ESD_001_5_FLD0600;I-606 INPUT SIGNAL (22VSHH081);2200;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;25.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
608;ESD_001_5_FLD0608;I-606 INPUT SIGNAL (22VSHH085);2200;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;25.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2458;ESD_001_5_FLD2458;XooY-2 FLAME VOTING;;;ЛОЖЬ;;Function block;ESD_001_5;;;13.05.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
744;ESD_001_5_FLD0744;I-139 INPUT SIGNAL (20HS165);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
376;ESD_001_5_FLD0376;INTERLOCK 20-I-317;2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
616;ESD_001_5_FLD0616;I-606 INPUT SIGNAL (22VSHH089);2200;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;25.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1356;ESD_001_5_FLD1356;P-2005 TURB TRANS FAULT ADD;;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;26.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
255;ESD_001_5_FLD0255;I-311 INPUT SIGNALS (21BE102);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
358;ESD_001_5_FLD0358;I-311 INPUT SIGNALS (20HS084);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
470;ESD_001_5_FLD0470;H2002 MOS GROUP;2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
390;ESD_001_5_FLD0390;PILOT LINE TIGHTNESS TEST;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
772;ESD_001_5_FLD0772;20-I-065: 20XV232;;;ЛОЖЬ;;Program block;ESD_001_5;;;15.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
258;ESD_001_5_FLD0258;I-311 INPUT SIGNALS (21BE105);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
315;ESD_001_5_FLD0315;I-311 INPUT SIGNALS (21BE162);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
750;ESD_001_5_FLD0750;I-XXX INPUT SIGNAL (22TT257A);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
201;ESD_001_5_FLD0201;I-318 INPUT SIGNALS (20PI376);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1324;ESD_001_5_FLD1324;FIRST-UP P-2005 Sh1;;;ЛОЖЬ;;Program block;ESD_001_5;;;25.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2430;ESD_001_5_FLD2430;LOW/HIGH TRIP WITH MO;;;ЛОЖЬ;;Function block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
434;ESD_001_5_FLD0434;FLAME INTERLOCK;2000;H-2001;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1308;ESD_001_5_FLD1308;LINE MONITORING LOOP CHECK;;;ЛОЖЬ;;Program block;ESD_001_5;;;04.08.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
748;ESD_001_5_FLD0748;I-XXX INPUT SIGNAL (22TT255B);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
666;ESD_001_5_FLD0666;I-033 INPUT SIGNALS (20LT056);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;04.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
714;ESD_001_5_FLD0714;20-I-240: 20HS428A;2200;;ЛОЖЬ;;Program block;ESD_001_5;;;06.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
276;ESD_001_5_FLD0276;I-311 INPUT SIGNALS (21BE123);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
260;ESD_001_5_FLD0260;I-311 INPUT SIGNALS (21BE107);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
599;ESD_001_5_FLD0599;I-606 INPUT SIGN. (22TT101Q);2200;P-2005S;ЛОЖЬ;;Program block;ESD_001_5;;;01.07.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
301;ESD_001_5_FLD0301;I-311 INPUT SIGNALS (21BE148);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
662;ESD_001_5_FLD0662;P-2012S;2200;P-2012S;ЛОЖЬ;;Program block;ESD_001_5;;;26.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
