PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9
M;372_450_1;;;4100;;41TAHH765B_I;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;699;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;724_980_1;;;4100;P-4104S;41HS725_RST;;ЛОЖЬ;ЛОЖЬ;;980;;;;;;;0;;;;2342;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1324_4_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1324;;;;;;;0;;;;6404;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C521_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;521;;;;;;;0;;;;6640;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;325_486_6;;;4100;H-4101;41XZSC_045;;ЛОЖЬ;ЛОЖЬ;;486;;;;;;;0;;;;805;ЛОЖЬ;0;;;;;;;1=CLOSE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C406_2_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;406;;;;;;;0;;;;5903;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;41TI865B_HH;;COM;4100;A_C4103;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;238;;Float;;;;;0;;;;498;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;10234;;;;;;;;;;;;
M;992_6;;;4100;C-4103;;;ЛОЖЬ;ЛОЖЬ;;992;;;;;;;0;;;;2933;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41ZSLL701;;FLD;4100;A_C4104;C-4104 LIMIT SWITCH;Yes;ИСТИНА;ЛОЖЬ;;614;;;;;;;;;;;160;ИСТИНА;20804;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;11.04;5;9;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1412;;;;;;;;;;;;
M;C348_2_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;348;;;;;;;0;;;;5779;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;536_1112_4;;;4100;;41XY145_I;;ЛОЖЬ;ЛОЖЬ;;1112;;;;;;;0;;;;3587;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41BI710_MOC;;COM;4100;H-4101;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;5075;ИСТИНА;20807;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1918;;;;;;;;;;;;
M;760_684_2;;;4100;;41SIS003_I;;ЛОЖЬ;ЛОЖЬ;;684;;;;;;;0;;;;2843;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
