PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7
DI;42VSHH804Y;;BNS;4200;A_C4201;GEAR SPEED NDE BEAR VIBR;Yes;ИСТИНА;ЛОЖЬ;;263;;;;;;;;;;;75;ИСТИНА;22602;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;12.03;9;4;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;943;;;;
M;239_950_2;;;4200;C-4201; 42TI808B_TF;;ЛОЖЬ;ЛОЖЬ;;950;;;;;;;0;;;;738;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2460_E;;;;;XY (O=TRIP);;ЛОЖЬ;ЛОЖЬ;;2460;;;;;;;0;;;;2272;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C145_1_B;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;642;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;398_3;;;5800;;;;ЛОЖЬ;ЛОЖЬ;;398;;;;;;;0;;;;4420;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58TAHH036_CA;;COM;5800;A_5800;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;394;;;;;;;0;;;;4225;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;788;;;;
DO;42VAHH808Y;;COM;4200;A_C4201;COMPR NDE BEAR VIBR;No;ЛОЖЬ;ЛОЖЬ;;268;;;;;;;0;;;;4003;ИСТИНА;23219;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;676;;;;
M;254_6;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;254;;;;;;;0;;;;3562;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;874_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;874;;;;;;;;1 s;0;;52;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2333_A;;;;;;;ЛОЖЬ;ЛОЖЬ;;2333;;;;;;;0;;;;134;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42TAHH813B_FU;;COM;4200;A_C4201;A_C4201;No;ЛОЖЬ;ЛОЖЬ;;1024;;;;;;;0;;;;1081;ИСТИНА;22863;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;1133;;;;
M;C239_4_D;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;239;;;;;;;0;;;;2156;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42HA011J_FU;;COM;4200;A_C4202;C-4202 EMERG.SD;No;ЛОЖЬ;ЛОЖЬ;;1012;;;;;;;0;;;;912;ИСТИНА;23292;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;821;;;;
T;238_3;;;4200;C-4201;;;ЛОЖЬ;ЛОЖЬ;;238;;;;;;;;100 ms;30;;364;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;246_6;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;246;;;;;;;0;;;;4141;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;244_150_4;;;;;42TT801C;;ЛОЖЬ;ЛОЖЬ;;150;;;;;;;0;;;;3957;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;346_358_1;;;4200;C-4202;C-4202 EMERGENCY STOP;;ЛОЖЬ;ЛОЖЬ;;358;;;;;;;0;;;;696;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C660_4_E;;;5800;5800;Function block marker;;ЛОЖЬ;ЛОЖЬ;;660;;;;;;;0;;;;536;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58VAHH722X;;COM;5800;A_P58_1;P-5802S PUMP J.BEAR VIBR;No;ЛОЖЬ;ЛОЖЬ;;556;;;;;;;0;;;;3634;ИСТИНА;23449;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;905;;;;
M;C330_1_C;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;330;;;;;;;0;;;;455;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C253_3_G;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;253;;;;;;;0;;;;2097;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;58HS923_MOR;;COM;5800;A_5800;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;860;;;;;;;0;;;;1720;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_2;137;;;;
