PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
DI;51XS976_P;;COM;5100;A_C5140;COMPR C-5140S IS RUNNING;No;ЛОЖЬ;ИСТИНА;;816;;;;;;;0;;;;3059;ЛОЖЬ;0;None;;;;;;1=RUNNING;;;;;;;Undefined;;;;;;;;High;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;Input;CC_CCB_1;ESD_511_1;20;;;;;;;;;;;;
DI;52XSF019;;MCC;5200;A_5200;Z-5112 GATE VALVE IS BLK;Yes;ИСТИНА;ЛОЖЬ;;882;;;;;;;;;;;48;ИСТИНА;26202;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;14.03;9;9;1;Low;;Undefined;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;1119;;;;;;;;
M;528_2;;;5200;;;;ЛОЖЬ;ЛОЖЬ;;528;;;;;;;0;;;;1051;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C268_3_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;268;;;;;;;0;;;;4335;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C450_2_B;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;2653;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;51TI884D_MOR;;COM;5100;A_C5140;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;840;;;;;;;0;;;;2091;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_511_1;60;;;;;;;;
T;606_2;;;5200;;;;ЛОЖЬ;ЛОЖЬ;;606;;;;;;;;100 ms;5;;1236;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C702_1;;;5100;;Compiler marker (248, 84);;ЛОЖЬ;ЛОЖЬ;;702;;;;;;;0;;;;3809;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;52PI019;;FLD;5200;;P-5206 PRES CORR INHIB;Yes;ИСТИНА;ЛОЖЬ;;598;ИСТИНА;Float;4-20mA;0;2.5;MPa-g;;;;;1100;ЛОЖЬ;26682;;None;None;None;None;;;;;;;;;-XXXXX.X;3.64;22;;14.07;7;4;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10401;;;;;;;;
M;1324_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;1324;;;;;;;0;;;;1636;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
