PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8
M;C1632_1_J;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1632;;;;;;;0;;;;8534;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C376_1_E;;;6000;6000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;376;;;;;;;0;;;;3017;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;1015_1021_4;;;;;Step Num;;ЛОЖЬ;ЛОЖЬ;;1021;;Float;;;;;0;;;;6186;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1203_1449_8;;;;;H-6052-s.5.5.6;;ЛОЖЬ;ЛОЖЬ;;1449;;;;;;;0;;;;6557;ЛОЖЬ;0;;;;;;;1=CLOSE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;731_1473_7;;;6000;;Step 5.4.6;;ЛОЖЬ;ЛОЖЬ;;1473;;;;;;;0;;;;3518;ЛОЖЬ;0;;;;;;;1=CLOSE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;264_296_2;;;5500;;55TAHH123_I;;ЛОЖЬ;ЛОЖЬ;;296;;;;;;;0;;;;293;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1455_9;;;6000;;;;ЛОЖЬ;ЛОЖЬ;;1455;;;;;;;0;;;;4261;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C605_1_L;;;;;Function block register;;ЛОЖЬ;ЛОЖЬ;;605;;Float;;;;;0;;;;3250;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1213_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;1213;;;;;;;0;;;;6497;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;923_925_6;;;6000;;RESET;;ЛОЖЬ;ЛОЖЬ;;925;;;;;;;0;;;;4749;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60PALL322_CA;;COM;6000;A_6000;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;448;;;;;;;0;;;;1133;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;716
T;1153_2;;;;;;;ЛОЖЬ;ИСТИНА;;1153;;;;;;;;1 s;0;;1532;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with variable timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1462_1_4;;;6000;6000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1462;;;;;;;0;;;;6608;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60H6052_SEQ_START_O;;COM;;;;No;ЛОЖЬ;ЛОЖЬ;;1001;;;;;;;0;;;;5231;ИСТИНА;29325;None;;;;;;1=RUN;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;CC_UCB_3;ESD_551_1;313;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1046
M;927_1410_7;;;6000;;Step 5.4.4.;;ЛОЖЬ;ЛОЖЬ;;1410;;;;;;;0;;;;4856;ЛОЖЬ;0;;;;;;;1=Close;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60VAH805AB;;COM;6000;A_6000;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;532;;;;;;;0;;;;1429;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;983
M;C635_1_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;635;;;;;;;0;;;;2796;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60XY062;;FLD;6000;A_6000;PA PIL N1 CMP FURN H6052;Yes;ИСТИНА;ЛОЖЬ;;1462;;;;;;;0;;;;43;ИСТИНА;28004;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;15.07;5;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1303
M;861_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;861;;;;;;;0;;;;5078;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1490_2;;;;;Compiler marker (272, 313);;ЛОЖЬ;ЛОЖЬ;;1490;;;;;;;0;;;;1290;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C773_1_L;;;6000;6000;Function block register;;ЛОЖЬ;ЛОЖЬ;;773;;Float;;;;;0;;;;2068;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
