PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
M;344_446_3;;;901-10;;GROUP-SHUTDOWN;;ЛОЖЬ;ЛОЖЬ;;446;;;;;;;0;;;;1719;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;402_1;;;901-10;;;;ЛОЖЬ;ЛОЖЬ;;402;;;;;;;0;;;;1709;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C338_1_F;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;338;;;;;;;0;;;;1250;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C334_3_G;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;334;;;;;;;0;;;;1278;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91FI031B_TF;;COM;901-10;A_90110;TRANSM FAULT;No;ЛОЖЬ;ЛОЖЬ;;354;;;;;;;0;;;;1389;ИСТИНА;33677;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;431
M;1500_11;;;;C9011001;;;ЛОЖЬ;ЛОЖЬ;;1500;;;;;;;0;;;;45;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C317_1_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;317;;;;;;;0;;;;2661;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
R;321_322_4;;;9100;;91LI052;;ЛОЖЬ;ЛОЖЬ;;322;;Float;;;;;0;;;;32;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;344_434_2;;;901-10;;GROUP_SHUTDOWN;;ЛОЖЬ;ЛОЖЬ;;434;;;;;;;0;;;;1429;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
BO;91FI028B_LL;;COM;901-10;A_90110;LL TRIP SETPOINT (kg/h);No;ИСТИНА;ЛОЖЬ;;346;;Float;;;;;0;;;;676;;33985;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;10114
DO;91PDAH803;;COM;901-10;A_C90111;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;602;;;;;;;0;;;;1542;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;1005
M;618_3;;;901-10;;;;ЛОЖЬ;ЛОЖЬ;;618;;;;;;;0;;;;336;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
