PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16;ComAllocationType17;Master17;Slave17;PLCAddress17;ComAllocationType18;Master18;Slave18;PLCAddress18
DO;58XA090BF;;FFB;;;DEL.VLV. 58XV-090 MANUALLY ACTIVATED;No;ИСТИНА;ЛОЖЬ;;150;;;;;;;0;;;;1311;ЛОЖЬ;43522;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.18;11;8;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1700;;;;;;;;;;;;;;;;
M;177_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;177;;;;;;;0;;;;2860;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;225_10;;;;;;;ЛОЖЬ;ЛОЖЬ;;225;;;;;;;0;;;;1614;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C285_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;285;;;;;;;0;;;;7063;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;469_21;;;;;;;ЛОЖЬ;ЛОЖЬ;;469;;;;;;;0;;;;2985;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;FGS_101_1.10XZA151;;FSC;;;Задвижка 10XV151- аларм;Yes;ИСТИНА;ЛОЖЬ;;825;;;;;;;0;;;;5105;ЛОЖЬ;42333;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_101_1;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C426_4_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;426;;;;;;;0;;;;7127;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XL021GC;;F01;;;P-5850S RUNNING;No;ИСТИНА;ЛОЖЬ;;551;;;;;;;0;;;;1105;ЛОЖЬ;43406;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.17;1;10;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1558;;;;;;;;;;;;;;;;
DI;FGS_001_3.20XA965_2;;FSC;;;T.GD act. in CH-20-3-GDAP-C,F,G lamp;Yes;ИСТИНА;ЛОЖЬ;;246;;;;;;;0;;;;3812;ЛОЖЬ;42280;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;FGS_001_1;FGS_001_3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;58HS193G;;G01;;;ACKNOWLEDGE HORNS AND BEACONS (GAS) IN SECT CH-58-1;No;ИСТИНА;ЛОЖЬ;;531;;;;;;;;;;;123;ИСТИНА;42579;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.05;9;4;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;564;;;;;;;;;;;;;;;;
M;186_8;;;;;;;ЛОЖЬ;ЛОЖЬ;;186;;;;;;;0;;;;1075;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;296_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;296;;;;;;;0;;;;2945;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
