FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
978;FGS_001_2_FLD0978;2000#4 MOS Lamp Control-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;16.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
934;FGS_001_2_FLD0934;2000#4 DV 58XV085-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
814;FGS_001_2_FLD0814;2000#4 DV 20XV476-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1746;FGS_001_2_FLD1746;H-2003-Logic;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
750;FGS_001_2_FLD0750;2000#4 Fire detector 20YT011;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
308;FGS_001_2_FLD0308;2000#2 DV 20XV493-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;21.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
7;FGS_001_2_FLD0007;Legend of Symbols (6);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
916;FGS_001_2_FLD0916;2000#4 DV 58XV083-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
390;FGS_001_2_FLD0390;2000#2 MOS Lamp Control-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
836;FGS_001_2_FLD0836;2000#4 DV 58XV025-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;11.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
492;FGS_001_2_FLD0492;2000#3 Fire detector 20YT238;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1322;FGS_001_2_FLD1322;CH-20-4 DV 20XV491-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;12.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1724;FGS_001_2_FLD1724;H-2002-Open Buttons;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1048;FGS_001_2_FLD1048;CH-20-1 DV 20XV852-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;12.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
686;FGS_001_2_FLD0686;2000#3 MOS Lamp Control-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
950;FGS_001_2_FLD0950;2000#4 Common Alarm MCP;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
986;FGS_001_2_FLD0986;2000#4 MOS Lamp Control-Sh6;;;ЛОЖЬ;;Program block;FGS_001_2;;;11.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
368;FGS_001_2_FLD0368;2000#2 Common Alarm FD-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
8;FGS_001_2_FLD0008;Legend of Symbols (7);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
306;FGS_001_2_FLD0306;2000#2 DV 20XV493-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;07.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2312;FGS_001_2_FLD2312;FIRE MOS 5800#2;;;ЛОЖЬ;;Function block;FGS_001_2;;;22.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
414;FGS_001_2_FLD0414;2000#3 MCP 20HS506;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1025;FGS_001_2_FLD1025;CH-20-1 FDs voting-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;31.10.2012;;;Sysdtlsmflda;Sysdtlsmflda_fp;
384;FGS_001_2_FLD0384;2000#2 Ready to Reset-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
910;FGS_001_2_FLD0910;2000#4 DV 58XV082-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
5;FGS_001_2_FLD0005;Legend of Symbols (4);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
366;FGS_001_2_FLD0366;2000#2 Common Alarm MCP-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
136;FGS_001_2_FLD0136;2000#1 Common Alarm MCP;;;ЛОЖЬ;;Program block;FGS_001_2;;;14.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
