PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8
M;2470_B;;;;;PUSLE=Horn Initiator;;ЛОЖЬ;ЛОЖЬ;;2470;;;;;;;0;;;;1389;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2475_D;;;;;TEST BUTTON;;ЛОЖЬ;ЛОЖЬ;;2475;;;;;;;0;;;;1106;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2465_7;;;;;Compiler marker (176, 193);;ЛОЖЬ;ЛОЖЬ;;2465;;;;;;;0;;;;1950;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;88GT006;;FLD;;;gas leakoff ext. installation E-8801404A/B;Yes;ИСТИНА;ЛОЖЬ;;242;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;20;ЛОЖЬ;50003;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;35.03;3;6;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;FGS_002_1;11045;;;;
M;626_12;;;;;;;ЛОЖЬ;ЛОЖЬ;;626;;;;;;;0;;;;284;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;21_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;21;;;;;;;;100 ms;5;;104;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C215_2_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;215;;;;;;;0;;;;138;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C545_1_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;545;;;;;;;0;;;;1210;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;816_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;816;;;;;;;0;;;;1458;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C519_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;519;;;;;;;0;;;;1721;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
