PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4
DO;10GT504_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;318;;;;;;;0;;;;759;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;718
DO;10HS370_RR;;COM;;;READY TO RESET 1000-01-FIRE;No;ЛОЖЬ;ЛОЖЬ;;250;;;;;;;0;;;;924;ИСТИНА;52314;None;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;883
DI;10GT528_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;366;;;;;;;0;;;;135;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_101_1;24
DO;FGS_101_1.10XL504_1;;FSC;;;Fl.GD act. in heat exch.-GDAP-C,F,G lamp;Yes;ЛОЖЬ;ЛОЖЬ;;606;;;;;;;0;;;;2063;ЛОЖЬ;0;None;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;FGS_001_1;FGS_101_1;24;;;;;;;;;;;;
DO;10GT536_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;741;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;700
M;384_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;384;;;;;;;0;;;;3510;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;116_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;116;;;;;;;0;;;;1098;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C538_1_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;538;;;;;;;0;;;;2641;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C324_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;324;;;;;;;0;;;;3122;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C804_6_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;804;;;;;;;0;;;;2490;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;118_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;118;;;;;;;0;;;;1111;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;300_350_5;;;;;10HS242;;ЛОЖЬ;ЛОЖЬ;;350;;;;;;;0;;;;1646;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;546_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;546;;;;;;;0;;;;2047;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;FGS_101_1.10XL505_2;;FSC;;;Fl.GD act. in COOLER-GDAP-C,F,G lamp;Yes;ЛОЖЬ;ЛОЖЬ;;608;;;;;;;0;;;;2078;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;FGS_001_1;FGS_101_1;27;;;;;;;;;;;;
