PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
DI;41YT001_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;120;;;;;;;0;;;;4325;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;EPKS_CCB;FGS_411_1;6;;;;;;;;;;;;;;;;
M;440_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;440;;;;;;;0;;;;620;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;428_450_1;;;;;42YA004_FL;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;1413;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1530_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;1530;;;;;;;0;;;;2463;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1562_1594_2;;;;;41GT030_RR;;ЛОЖЬ;ЛОЖЬ;;1594;;;;;;;0;;;;2551;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42XA090HF;;FLD;;;NEXT CH-42-1/STAIR CASE;Yes;ИСТИНА;ЛОЖЬ;;1034;;;;;;;0;;;;190;ИСТИНА;54004;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;38.17;5;7;1;Appl;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;807;;;;;;;;;;;;;;;;
M;C922_4_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;922;;;;;;;0;;;;6142;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;522_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;522;;;;;;;;100 ms;5;;1200;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C160_1_L;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;160;;;;;;;0;;;;6918;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;314_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;314;;;;;;;0;;;;3916;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
