PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7
M;C140_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;140;;;;;;;0;;;;312;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;110_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;110;;;;;;;0;;;;880;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;128_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;128;;;;;;;0;;;;453;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2465_3;;;;;Compiler marker (176, 97);;ЛОЖЬ;ЛОЖЬ;;2465;;;;;;;0;;;;108;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C132_7_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;132;;;;;;;0;;;;1438;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C240_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;1291;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;2462_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;2462;;;;;;;;10 ms;1;;68;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C220_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;220;;;;;;;0;;;;1331;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C330_1_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;330;;;;;;;0;;;;240;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;310_320_1;;;;;91HS350_FL;;ЛОЖЬ;ЛОЖЬ;;320;;;;;;;0;;;;202;ЛОЖЬ;0;;;;;;;0=cmd STOP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;274_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;274;;;;;;;0;;;;1194;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;310_162_4;;;;;91HS351_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;162;;;;;;;0;;;;156;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91GT202_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;220;;;;;;;0;;;;651;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;FGS_911_1;540;;;;;;;;;;;;
DI;91HS387_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;112;;;;;;;0;;;;2256;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_UCB;FGS_911_1;17;;;;;;;;;;;;
M;C326_2_R;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;326;;;;;;;0;;;;371;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2463_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;2463;;;;;;;0;;;;428;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2463_7;;;;;Compiler marker (312, 204);;ЛОЖЬ;ЛОЖЬ;;2463;;;;;;;0;;;;164;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2308_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;2308;;;;;;;0;;;;1018;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C240_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;1286;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;224_288_1;;;;;91GT204_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;288;;;;;;;0;;;;1094;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91GT206_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;669;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;FGS_911_1;558;;;;;;;;;;;;
DO;44-FaultReset;;SYS;;;Fault Reset;No;ЛОЖЬ;;;60;;;;;;;;;;;36;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;FGS_911_1;515;;;;;;;;;;;;
T;324_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;324;;;;;;;;1 s;0;;56;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
